citizenship;gender;reporting_country;year;immigrant_count;obs_flag
Armenia;Females;Sweden;2016;71;
Armenia;Females;Sweden;2017;81;
Armenia;Females;Sweden;2018;71;
Armenia;Females;Sweden;2019;64;
Armenia;Females;Sweden;2020;40;
Armenia;Females;Sweden;2021;71;
Armenia;Females;Sweden;2022;42;
Armenia;Females;Sweden;2023;46;
Armenia;Females;Sweden;2024;67;
Armenia;Females;Slovenia;2008;2;b
Armenia;Females;Slovenia;2009;1;
Armenia;Females;Slovenia;2010;2;
Armenia;Females;Slovenia;2011;0;
Armenia;Females;Slovenia;2012;0;
Armenia;Females;Slovenia;2013;3;
Armenia;Females;Slovenia;2014;0;
Armenia;Females;Slovenia;2015;0;
Armenia;Females;Slovenia;2016;1;
Armenia;Females;Slovenia;2017;0;
Armenia;Females;Slovenia;2018;0;
Armenia;Females;Slovenia;2019;1;
Armenia;Females;Slovenia;2020;2;
Armenia;Females;Slovenia;2021;1;
Armenia;Females;Slovenia;2022;2;
Armenia;Females;Slovenia;2023;5;
Armenia;Females;Slovenia;2024;3;
Armenia;Females;Slovakia;2008;1;
Armenia;Females;Slovakia;2009;1;
Armenia;Females;Slovakia;2010;1;
Armenia;Females;Slovakia;2011;0;
Armenia;Females;Slovakia;2012;1;p
Armenia;Females;Slovakia;2020;0;p
Armenia;Females;Slovakia;2021;0;
Armenia;Females;Slovakia;2022;0;
Armenia;Females;Slovakia;2023;8;
Armenia;Females;Slovakia;2024;2;
Armenia;Males;Austria;2001;158;
Armenia;Males;Austria;2002;304;
Armenia;Males;Austria;2003;192;
Armenia;Males;Austria;2004;241;
Armenia;Males;Austria;2005;179;
Armenia;Males;Austria;2006;118;
Armenia;Males;Austria;2007;111;
Armenia;Males;Austria;2008;71;
Armenia;Males;Austria;2009;56;
Armenia;Males;Austria;2011;40;
Armenia;Males;Austria;2012;84;
Armenia;Males;Austria;2014;106;
Armenia;Males;Austria;2015;99;
Armenia;Males;Austria;2016;58;
Armenia;Males;Austria;2017;60;
Armenia;Males;Austria;2018;22;
Armenia;Males;Austria;2019;27;
Armenia;Males;Austria;2020;16;
Armenia;Males;Austria;2021;33;
Armenia;Males;Austria;2022;79;
Armenia;Males;Austria;2023;38;
Armenia;Males;Austria;2024;42;
Armenia;Males;Belgium;2011;281;
Armenia;Males;Belgium;2012;118;
Armenia;Males;Belgium;2013;111;
Armenia;Males;Belgium;2014;107;
Armenia;Males;Belgium;2015;111;
Armenia;Males;Belgium;2016;134;
Armenia;Males;Belgium;2017;140;
Armenia;Males;Belgium;2018;174;
Armenia;Males;Belgium;2019;193;
Armenia;Males;Bulgaria;2012;21;bp
Armenia;Males;Bulgaria;2013;69;p
Armenia;Males;Bulgaria;2014;43;p
Armenia;Males;Bulgaria;2015;46;
Armenia;Males;Bulgaria;2016;48;
Armenia;Males;Bulgaria;2017;36;p
Armenia;Males;Bulgaria;2018;31;p
Armenia;Males;Bulgaria;2019;34;p
Armenia;Males;Bulgaria;2020;29;p
Armenia;Males;Bulgaria;2021;26;
Armenia;Males;Bulgaria;2022;26;
Armenia;Males;Bulgaria;2023;41;
Armenia;Males;Bulgaria;2024;25;
Armenia;Males;Germany;2020;263;e
Armenia;Males;Germany;2021;392;e
Armenia;Males;Germany;2022;1703;e
Armenia;Males;Germany;2023;997;e
Armenia;Males;Germany;2024;741;e
Armenia;Males;Estonia;2022;18;
Armenia;Males;Spain;1998;35;
Armenia;Males;Spain;2000;452;
Armenia;Males;Spain;2001;377;
Armenia;Males;Spain;2004;774;
Armenia;Males;Spain;2005;934;
Armenia;Males;Spain;2006;1049;
Armenia;Males;Spain;2007;968;
Armenia;Males;Spain;2021;;b
Armenia;Males;Spain;2024;;
Armenia;Males;Finland;2008;1;
Armenia;Males;Finland;2013;6;
Armenia;Males;Finland;2014;2;
Armenia;Males;Finland;2015;6;
Armenia;Males;Finland;2016;6;
Armenia;Males;Finland;2017;3;
Armenia;Males;Finland;2018;2;
Armenia;Males;Finland;2019;2;
Armenia;Males;Finland;2020;5;
Armenia;Males;Finland;2021;5;
Armenia;Males;Finland;2022;1;
Armenia;Males;Finland;2023;3;
Armenia;Males;Finland;2024;2;
Armenia;Males;Croatia;2008;0;b
Armenia;Males;Croatia;2009;0;
Armenia;Males;Croatia;2010;3;
Armenia;Males;Croatia;2011;0;
Armenia;Males;Croatia;2012;0;
Armenia;Males;Croatia;2013;0;
Armenia;Males;Croatia;2014;0;
Armenia;Males;Croatia;2015;1;
Armenia;Males;Croatia;2016;0;
Armenia;Males;Croatia;2017;0;
Armenia;Males;Croatia;2018;0;
Armenia;Males;Croatia;2019;0;
Armenia;Males;Croatia;2020;0;
Armenia;Males;Croatia;2021;1;
Armenia;Males;Croatia;2022;4;
Armenia;Males;Croatia;2023;0;
Armenia;Males;Croatia;2024;3;
Armenia;Males;Hungary;2021;9;
Armenia;Males;Hungary;2022;9;
Armenia;Males;Hungary;2023;9;
Armenia;Males;Hungary;2024;14;
Armenia;Males;Ireland;2007;6;
Armenia;Males;Ireland;2008;3;
Armenia;Males;Ireland;2009;3;
Armenia;Males;Ireland;2010;3;
Armenia;Males;Italy;2013;36;
Armenia;Males;Italy;2014;42;
Armenia;Males;Italy;2015;35;
Armenia;Males;Italy;2016;30;
Armenia;Males;Italy;2017;40;
Armenia;Males;Italy;2018;55;
Armenia;Males;Italy;2019;20;
Armenia;Males;Italy;2020;35;
Armenia;Males;Italy;2021;104;
Armenia;Males;Italy;2022;85;
Armenia;Males;Italy;2023;64;
Armenia;Males;Italy;2024;41;
Armenia;Males;Lithuania;2008;3;
