year;geo_code;country;nace_r2_code;sector_nace_r2;na_item_code;unit_code;gva_million_eur;data_flag;source_id;dataset_id;source;price_basis;unit_label
2019;PT;Portugal;E;"Water supply; sewerage, waste management and remediation activities";B1G;CP_MEUR;1763.4;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;F;Construction;B1G;CP_MEUR;8151.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;G;"Wholesale and retail trade; repair of motor vehicles and motorcycles";B1G;CP_MEUR;24675.1;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;H;Transportation and storage;B1G;CP_MEUR;9452.0;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;I;Accommodation and food service activities;B1G;CP_MEUR;11315.4;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;J;Information and communication;B1G;CP_MEUR;7140.6;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;K;Financial and insurance activities;B1G;CP_MEUR;8909.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;L;Real estate activities;B1G;CP_MEUR;23260.5;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;M;Professional, scientific and technical activities;B1G;CP_MEUR;7972.0;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;N;Administrative and support service activities;B1G;CP_MEUR;7453.6;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;O;"Public administration and defence; compulsory social security";B1G;CP_MEUR;12762.6;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;P;Education;B1G;CP_MEUR;10198.6;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;Q;Human health and social work activities;B1G;CP_MEUR;12208.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;R;Arts, entertainment and recreation;B1G;CP_MEUR;1697.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;S;Other service activities;B1G;CP_MEUR;2459.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2019;PT;Portugal;T;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";B1G;CP_MEUR;1169.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;A;Agriculture, forestry and fishing;B1G;CP_MEUR;4303.9;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;B;Mining and quarrying;B1G;CP_MEUR;524.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;C;Manufacturing;B1G;CP_MEUR;24304.9;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;D;Electricity, gas, steam and air conditioning supply;B1G;CP_MEUR;3959.1;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;E;"Water supply; sewerage, waste management and remediation activities";B1G;CP_MEUR;1848.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;F;Construction;B1G;CP_MEUR;8352.2;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;G;"Wholesale and retail trade; repair of motor vehicles and motorcycles";B1G;CP_MEUR;23154.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;H;Transportation and storage;B1G;CP_MEUR;6989.4;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;I;Accommodation and food service activities;B1G;CP_MEUR;6388.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;J;Information and communication;B1G;CP_MEUR;7782.4;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;K;Financial and insurance activities;B1G;CP_MEUR;9255.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;L;Real estate activities;B1G;CP_MEUR;23562.4;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;M;Professional, scientific and technical activities;B1G;CP_MEUR;8142.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;N;Administrative and support service activities;B1G;CP_MEUR;6644.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;O;"Public administration and defence; compulsory social security";B1G;CP_MEUR;12907.9;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;P;Education;B1G;CP_MEUR;10311.9;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;Q;Human health and social work activities;B1G;CP_MEUR;12168.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;R;Arts, entertainment and recreation;B1G;CP_MEUR;1237.1;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;S;Other service activities;B1G;CP_MEUR;2158.5;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2020;PT;Portugal;T;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";B1G;CP_MEUR;1106.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;A;Agriculture, forestry and fishing;B1G;CP_MEUR;4680.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;B;Mining and quarrying;B1G;CP_MEUR;752.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;C;Manufacturing;B1G;CP_MEUR;26938.2;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;D;Electricity, gas, steam and air conditioning supply;B1G;CP_MEUR;3445.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;E;"Water supply; sewerage, waste management and remediation activities";B1G;CP_MEUR;1978.9;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;F;Construction;B1G;CP_MEUR;8695.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;G;"Wholesale and retail trade; repair of motor vehicles and motorcycles";B1G;CP_MEUR;23942.5;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;H;Transportation and storage;B1G;CP_MEUR;7775.4;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;I;Accommodation and food service activities;B1G;CP_MEUR;7913.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;J;Information and communication;B1G;CP_MEUR;8499.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;K;Financial and insurance activities;B1G;CP_MEUR;9604.2;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;L;Real estate activities;B1G;CP_MEUR;24399.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;M;Professional, scientific and technical activities;B1G;CP_MEUR;8888.9;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;N;Administrative and support service activities;B1G;CP_MEUR;7646.9;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;O;"Public administration and defence; compulsory social security";B1G;CP_MEUR;13462.9;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;P;Education;B1G;CP_MEUR;10553.5;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;Q;Human health and social work activities;B1G;CP_MEUR;13493.0;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;R;Arts, entertainment and recreation;B1G;CP_MEUR;1467.1;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;S;Other service activities;B1G;CP_MEUR;2188.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2021;PT;Portugal;T;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";B1G;CP_MEUR;1033.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2022;PT;Portugal;A;Agriculture, forestry and fishing;B1G;CP_MEUR;4648.4;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2022;PT;Portugal;B;Mining and quarrying;B1G;CP_MEUR;678.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2022;PT;Portugal;C;Manufacturing;B1G;CP_MEUR;30402.6;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2022;PT;Portugal;D;Electricity, gas, steam and air conditioning supply;B1G;CP_MEUR;1767.1;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2022;PT;Portugal;E;"Water supply; sewerage, waste management and remediation activities";B1G;CP_MEUR;1999.3;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2022;PT;Portugal;F;Construction;B1G;CP_MEUR;10048.2;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2022;PT;Portugal;G;"Wholesale and retail trade; repair of motor vehicles and motorcycles";B1G;CP_MEUR;26047.1;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2022;PT;Portugal;H;Transportation and storage;B1G;CP_MEUR;9767.7;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2022;PT;Portugal;I;Accommodation and food service activities;B1G;CP_MEUR;12959.9;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2022;PT;Portugal;J;Information and communication;B1G;CP_MEUR;10019.8;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
2022;PT;Portugal;K;Financial and insurance activities;B1G;CP_MEUR;11430.9;;F012;D115;Eurostat — Gross value added and income by detailed industry (nama_10_a64);current_prices;Million euro, current prices
