year;country_code;country;sector_nace_r2;employment_thousand_persons;employment_persons;data_flag;sex;age;source_id;dataset_id;source;unit
2011;PT;Portugal;Human health and social work activities;360.8;360800.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Information and communication;80.1;80100.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Manufacturing;780.5;780500.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Mining and quarrying;18.3;18300.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Other service activities;92.0;92000.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Professional, scientific and technical activities;171.1;171100.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;"Public administration and defence; compulsory social security";304.9;304900.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Real estate activities;24.8;24800.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;Transportation and storage;167.8;167800.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;"Water supply; sewerage, waste management and remediation activities";29.9;29900.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2011;PT;Portugal;"Wholesale and retail trade; repair of motor vehicles and motorcycles";693.5;693500.0;break_in_series;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Accommodation and food service activities;275.7;275700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
