year;nationality;gender;permits_granted;resident_count;source_id;source
2015;Laos;Masculino;1;4;F001 / F002;SEF + AIMA — combinado
2015;Lesoto;Feminino;2;3;F001 / F002;SEF + AIMA — combinado
2015;Lesoto;Masculino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Letónia;Feminino;33;239;F001 / F002;SEF + AIMA — combinado
2015;Letónia;Masculino;19;94;F001 / F002;SEF + AIMA — combinado
2015;Libéria;Feminino;1;2;F001 / F002;SEF + AIMA — combinado
2015;Libéria;Masculino;0;14;F001 / F002;SEF + AIMA — combinado
2015;Liechtenstein;Feminino;1;2;F001 / F002;SEF + AIMA — combinado
2015;Liechtenstein;Masculino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Lituânia;Feminino;48;364;F001 / F002;SEF + AIMA — combinado
2015;Lituânia;Masculino;21;171;F001 / F002;SEF + AIMA — combinado
2015;Luxemburgo;Feminino;7;61;F001 / F002;SEF + AIMA — combinado
2015;Luxemburgo;Masculino;14;83;F001 / F002;SEF + AIMA — combinado
2015;Líbano;Feminino;18;62;F001 / F002;SEF + AIMA — combinado
2015;Líbano;Masculino;18;100;F001 / F002;SEF + AIMA — combinado
2015;Líbia;Feminino;10;41;F001 / F002;SEF + AIMA — combinado
2015;Líbia;Masculino;5;155;F001 / F002;SEF + AIMA — combinado
2015;Macau;Feminino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Macau;Masculino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Macedónia do Norte;Feminino;5;12;F001 / F002;SEF + AIMA — combinado
2015;Macedónia do Norte;Masculino;5;15;F001 / F002;SEF + AIMA — combinado
2015;Madagáscar;Feminino;4;8;F001 / F002;SEF + AIMA — combinado
2015;Madagáscar;Masculino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Maldivas;Feminino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Maldivas;Masculino;0;2;F001 / F002;SEF + AIMA — combinado
2015;Mali;Feminino;1;6;F001 / F002;SEF + AIMA — combinado
2015;Mali;Masculino;2;39;F001 / F002;SEF + AIMA — combinado
2015;Malta;Feminino;1;14;F001 / F002;SEF + AIMA — combinado
2015;Malta;Masculino;2;11;F001 / F002;SEF + AIMA — combinado
2015;Malásia;Feminino;4;35;F001 / F002;SEF + AIMA — combinado
2015;Malásia;Masculino;5;24;F001 / F002;SEF + AIMA — combinado
2015;Maláui;Feminino;2;10;F001 / F002;SEF + AIMA — combinado
2015;Maláui;Masculino;0;2;F001 / F002;SEF + AIMA — combinado
2015;Marrocos;Feminino;80;829;F001 / F002;SEF + AIMA — combinado
2015;Marrocos;Masculino;56;852;F001 / F002;SEF + AIMA — combinado
2015;Mauritânia;Feminino;0;3;F001 / F002;SEF + AIMA — combinado
2015;Mauritânia;Masculino;1;21;F001 / F002;SEF + AIMA — combinado
2015;Mianmar;Feminino;0;3;F001 / F002;SEF + AIMA — combinado
2015;Mianmar;Masculino;1;4;F001 / F002;SEF + AIMA — combinado
2015;Moldávia;Feminino;144;3744;F001 / F002;SEF + AIMA — combinado
2015;Moldávia;Masculino;91;3204;F001 / F002;SEF + AIMA — combinado
2015;Mongólia;Feminino;2;18;F001 / F002;SEF + AIMA — combinado
2015;Mongólia;Masculino;1;14;F001 / F002;SEF + AIMA — combinado
2015;Montenegro;Feminino;1;4;F001 / F002;SEF + AIMA — combinado
2015;Montenegro;Masculino;0;5;F001 / F002;SEF + AIMA — combinado
2015;Moçambique;Feminino;155;1589;F001 / F002;SEF + AIMA — combinado
2015;Moçambique;Masculino;163;1220;F001 / F002;SEF + AIMA — combinado
2015;México;Feminino;25;256;F001 / F002;SEF + AIMA — combinado
2015;México;Masculino;23;177;F001 / F002;SEF + AIMA — combinado
2015;Namíbia;Feminino;1;12;F001 / F002;SEF + AIMA — combinado
2015;Namíbia;Masculino;0;6;F001 / F002;SEF + AIMA — combinado
2015;Nepal;Feminino;413;1506;F001 / F002;SEF + AIMA — combinado
2015;Nepal;Masculino;956;3292;F001 / F002;SEF + AIMA — combinado
2015;Nicarágua;Feminino;1;12;F001 / F002;SEF + AIMA — combinado
2015;Nicarágua;Masculino;0;4;F001 / F002;SEF + AIMA — combinado
