region;year;establishments_count
Alto Alentejo;2023;3430
Alto Alentejo;2024;3351
Alentejo Central;2014;6131
Alentejo Central;2015;6132
Alentejo Central;2016;6087
Alentejo Central;2017;6073
Alentejo Central;2018;6029
Alentejo Central;2019;5879
Alentejo Central;2020;5902
Alentejo Central;2021;5608
Alentejo Central;2022;6051
Alentejo Central;2023;6137
Alentejo Central;2024;6058
Algarve;2014;19056
Algarve;2015;19415
Algarve;2016;19902
Algarve;2017;20073
Algarve;2018;20768
Algarve;2019;20888
Algarve;2020;20366
Algarve;2021;19836
Algarve;2022;20699
Algarve;2023;22034
Algarve;2024;21959
