year;district;new_registrations_count;source_id;source
2017;Guarda;231;F014;Segurança Social
2017;Leiria;1387;F014;Segurança Social
2017;Lisboa;28262;F014;Segurança Social
2017;Outro;4473;F014;Segurança Social
2017;Portalegre;210;F014;Segurança Social
2017;Porto;5478;F014;Segurança Social
2017;Região Autónoma dos Açores;294;F014;Segurança Social
2017;Região Autónoma da Madeira;621;F014;Segurança Social
2017;Santarém;1139;F014;Segurança Social
2017;Setúbal;4925;F014;Segurança Social
2017;Viana do Castelo;383;F014;Segurança Social
2017;Vila Real;258;F014;Segurança Social
2017;Viseu;435;F014;Segurança Social
2017;Évora;228;F014;Segurança Social
2018;Aveiro;3699;F014;Segurança Social
2018;Beja;6643;F014;Segurança Social
2018;Braga;3514;F014;Segurança Social
2018;Bragança;664;F014;Segurança Social
2018;Castelo Branco;892;F014;Segurança Social
2018;Coimbra;2072;F014;Segurança Social
2018;Faro;14188;F014;Segurança Social
2018;Guarda;382;F014;Segurança Social
2018;Leiria;3145;F014;Segurança Social
2018;Lisboa;46731;F014;Segurança Social
2018;Outro;4623;F014;Segurança Social
2018;Portalegre;271;F014;Segurança Social
2018;Porto;11254;F014;Segurança Social
2018;Região Autónoma dos Açores;430;F014;Segurança Social
2018;Região Autónoma da Madeira;1217;F014;Segurança Social
2018;Santarém;2571;F014;Segurança Social
2018;Setúbal;7403;F014;Segurança Social
2018;Viana do Castelo;935;F014;Segurança Social
2018;Vila Real;364;F014;Segurança Social
2018;Viseu;829;F014;Segurança Social
2018;Évora;541;F014;Segurança Social
2019;Aveiro;6166;F014;Segurança Social
2019;Beja;10915;F014;Segurança Social
2019;Braga;5908;F014;Segurança Social
2019;Bragança;1062;F014;Segurança Social
2019;Castelo Branco;1397;F014;Segurança Social
2019;Coimbra;2773;F014;Segurança Social
2019;Faro;17833;F014;Segurança Social
2019;Guarda;487;F014;Segurança Social
2019;Leiria;5391;F014;Segurança Social
2019;Lisboa;66316;F014;Segurança Social
2019;Outro;4150;F014;Segurança Social
2019;Portalegre;406;F014;Segurança Social
2019;Porto;15570;F014;Segurança Social
2019;Região Autónoma dos Açores;499;F014;Segurança Social
2019;Região Autónoma da Madeira;1190;F014;Segurança Social
2019;Santarém;4895;F014;Segurança Social
2019;Setúbal;14531;F014;Segurança Social
2019;Viana do Castelo;1737;F014;Segurança Social
2019;Vila Real;618;F014;Segurança Social
2019;Viseu;1879;F014;Segurança Social
