year;district;contributors_count;source_id;source
2017;Viseu;1895;F014;Segurança Social
2017;Évora;1665;F014;Segurança Social
2018;Aveiro;7825;F014;Segurança Social
2018;Beja;11682;F014;Segurança Social
2018;Braga;7266;F014;Segurança Social
2018;Bragança;1281;F014;Segurança Social
2018;Castelo Branco;1564;F014;Segurança Social
2018;Coimbra;4756;F014;Segurança Social
2018;Faro;40518;F014;Segurança Social
2018;Guarda;904;F014;Segurança Social
2018;Leiria;9101;F014;Segurança Social
2018;Lisboa;140763;F014;Segurança Social
2018;Outro;8133;F014;Segurança Social
2018;Portalegre;1257;F014;Segurança Social
2018;Porto;20554;F014;Segurança Social
2018;Região Autónoma dos Açores;1471;F014;Segurança Social
2018;Região Autónoma da Madeira;2653;F014;Segurança Social
2018;Santarém;7655;F014;Segurança Social
2018;Setúbal;28201;F014;Segurança Social
2018;Viana do Castelo;2165;F014;Segurança Social
2018;Vila Real;954;F014;Segurança Social
2018;Viseu;2354;F014;Segurança Social
2018;Évora;2018;F014;Segurança Social
2019;Aveiro;11786;F014;Segurança Social
2019;Beja;17292;F014;Segurança Social
2019;Braga;11999;F014;Segurança Social
2019;Bragança;1926;F014;Segurança Social
2019;Castelo Branco;2414;F014;Segurança Social
2019;Coimbra;6767;F014;Segurança Social
2019;Faro;51998;F014;Segurança Social
2019;Guarda;1170;F014;Segurança Social
2019;Leiria;13106;F014;Segurança Social
2019;Lisboa;178114;F014;Segurança Social
2019;Outro;8091;F014;Segurança Social
2019;Portalegre;1550;F014;Segurança Social
2019;Porto;32380;F014;Segurança Social
2019;Região Autónoma dos Açores;1758;F014;Segurança Social
2019;Região Autónoma da Madeira;3210;F014;Segurança Social
2019;Santarém;10868;F014;Segurança Social
2019;Setúbal;39218;F014;Segurança Social
2019;Viana do Castelo;3624;F014;Segurança Social
2019;Vila Real;1326;F014;Segurança Social
2019;Viseu;3673;F014;Segurança Social
2019;Évora;3040;F014;Segurança Social
2020;Aveiro;13393;F014;Segurança Social
2020;Beja;19437;F014;Segurança Social
2020;Braga;14035;F014;Segurança Social
2020;Bragança;1896;F014;Segurança Social
2020;Castelo Branco;2871;F014;Segurança Social
2020;Coimbra;7723;F014;Segurança Social
2020;Faro;51380;F014;Segurança Social
2020;Guarda;1300;F014;Segurança Social
2020;Leiria;15386;F014;Segurança Social
2020;Lisboa;194513;F014;Segurança Social
2020;Outro;7413;F014;Segurança Social
2020;Portalegre;1601;F014;Segurança Social
2020;Porto;37394;F014;Segurança Social
