year;district;beneficiaries_count;source_id;source
2022;Aveiro;19355;F014;Segurança Social
2022;Beja;15898;F014;Segurança Social
2022;Braga;19743;F014;Segurança Social
2022;Bragança;3587;F014;Segurança Social
2022;Castelo Branco;5011;F014;Segurança Social
2022;Coimbra;11092;F014;Segurança Social
2022;Faro;46860;F014;Segurança Social
2022;Guarda;1835;F014;Segurança Social
2022;Leiria;19964;F014;Segurança Social
2022;Lisboa;151163;F014;Segurança Social
2022;Outro;1484;F014;Segurança Social
2022;Portalegre;2096;F014;Segurança Social
2022;Porto;45700;F014;Segurança Social
2022;Região Autónoma dos Açores;1709;F014;Segurança Social
2022;Região Autónoma da Madeira;3237;F014;Segurança Social
2022;Santarém;15295;F014;Segurança Social
2022;Setúbal;47220;F014;Segurança Social
2022;Viana do Castelo;6625;F014;Segurança Social
2022;Vila Real;2114;F014;Segurança Social
2022;Viseu;6691;F014;Segurança Social
2022;Évora;3859;F014;Segurança Social
2023;Aveiro;12377;F014;Segurança Social
2023;Beja;6863;F014;Segurança Social
2023;Braga;12363;F014;Segurança Social
2023;Bragança;2611;F014;Segurança Social
2023;Castelo Branco;3303;F014;Segurança Social
2023;Coimbra;7255;F014;Segurança Social
2023;Faro;28048;F014;Segurança Social
2023;Guarda;1319;F014;Segurança Social
2023;Leiria;12056;F014;Segurança Social
2023;Lisboa;91535;F014;Segurança Social
2023;Outro;1161;F014;Segurança Social
2023;Portalegre;1350;F014;Segurança Social
2023;Porto;28196;F014;Segurança Social
2023;Região Autónoma dos Açores;1051;F014;Segurança Social
2023;Região Autónoma da Madeira;1865;F014;Segurança Social
2023;Santarém;10674;F014;Segurança Social
2023;Setúbal;31326;F014;Segurança Social
2023;Viana do Castelo;4247;F014;Segurança Social
2023;Vila Real;1431;F014;Segurança Social
2023;Viseu;4491;F014;Segurança Social
2023;Évora;2375;F014;Segurança Social
2024;Aveiro;14280;F014;Segurança Social
2024;Beja;8643;F014;Segurança Social
2024;Braga;13726;F014;Segurança Social
2024;Bragança;2669;F014;Segurança Social
2024;Castelo Branco;3835;F014;Segurança Social
2024;Coimbra;7808;F014;Segurança Social
2024;Faro;31638;F014;Segurança Social
2024;Guarda;1488;F014;Segurança Social
2024;Leiria;14289;F014;Segurança Social
2024;Lisboa;95549;F014;Segurança Social
2024;Outro;1101;F014;Segurança Social
2024;Portalegre;1498;F014;Segurança Social
2024;Porto;31098;F014;Segurança Social
2024;Região Autónoma dos Açores;1207;F014;Segurança Social
2024;Região Autónoma da Madeira;2227;F014;Segurança Social
2024;Santarém;12473;F014;Segurança Social
2024;Setúbal;34176;F014;Segurança Social
2024;Viana do Castelo;5003;F014;Segurança Social
2024;Vila Real;1732;F014;Segurança Social
2024;Viseu;5832;F014;Segurança Social
2024;Évora;2816;F014;Segurança Social
2025;Aveiro;17009;F014;Segurança Social
2025;Beja;9042;F014;Segurança Social
2025;Braga;15635;F014;Segurança Social
2025;Bragança;2866;F014;Segurança Social
2025;Castelo Branco;4586;F014;Segurança Social
2025;Coimbra;8774;F014;Segurança Social
2025;Faro;33660;F014;Segurança Social
2025;Guarda;1815;F014;Segurança Social
2025;Leiria;16420;F014;Segurança Social
2025;Lisboa;101966;F014;Segurança Social
2025;Outro;985;F014;Segurança Social
2025;Portalegre;1779;F014;Segurança Social
2025;Porto;35551;F014;Segurança Social
2025;Região Autónoma dos Açores;1503;F014;Segurança Social
2025;Região Autónoma da Madeira;2512;F014;Segurança Social
2025;Santarém;14356;F014;Segurança Social
2025;Setúbal;37945;F014;Segurança Social
2025;Viana do Castelo;5888;F014;Segurança Social
2025;Vila Real;2043;F014;Segurança Social
2025;Viseu;7261;F014;Segurança Social
2025;Évora;3023;F014;Segurança Social
