Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por agregado fiscal (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal (2020 - 2022);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2021);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;;;;;;;;
1604;Município;Monção;9 202;149 322;135 588;16 227;4 254;7 167;8 354;9 316;10 306;12 015;14 143;17 530;19 831;22 361;32 151;89;96;95;93;91;4 204;7 104;8 308;9 215;10 148;11 495;13 433;16 417;18 615;20 957;28 389;38,3;37,6;3,0;6,8;5,5;7,8;6,3;6,8;3,5;4,7;5,3;;;;;;;;
1605;Município;Paredes de Coura;4 513;70 156;64 622;15 545;4 555;6 946;8 087;9 116;10 290;11 900;13 871;16 895;19 165;21 559;29 546;95;93;94;90;84;4 489;6 926;8 062;9 068;10 154;11 390;13 220;15 898;17 859;20 482;26 723;36,4;36,7;3,0;6,0;5,9;4,2;5,2;7,3;6,4;6,6;3,8;;;;;;;;
1606;Município;Ponte da Barca;5 890;86 741;79 807;14 727;4 003;6 266;7 325;8 282;9 798;10 856;12 666;15 647;17 736;20 478;28 764;84;85;86;83;82;3 955;6 227;7 285;8 245;9 787;10 548;12 119;14 835;16 704;19 387;25 703;39,1;38,1;3,1;6,5;5,5;6,4;3,1;3,8;5,7;7,9;7,8;;;;;;;;
1607;Município;Ponte de Lima;21 001;350 157;319 729;16 673;5 095;7 689;8 715;9 561;10 575;12 142;14 315;17 928;20 178;22 615;31 627;107;101;96;94;90;5 053;7 630;8 652;9 512;10 335;11 672;13 643;16 979;19 223;21 390;28 324;37,5;37,1;2,8;5,6;6,2;6,0;4,3;4,8;5,8;8,1;7,5;;;;;;;;
1608;Município;Valença;7 786;121 319;111 427;15 582;4 102;7 151;8 377;9 262;10 401;11 970;14 080;17 215;19 559;21 974;29 677;86;97;95;91;84;4 050;7 117;8 294;9 197;10 190;11 391;13 352;16 243;18 321;20 576;26 761;36,8;36,5;2,9;6,6;4,1;4,8;3,9;5,7;4,2;4,2;4,0;;;;;;;;
1609;Município;Viana do Castelo;46 084;919 981;814 244;19 963;5 284;8 424;9 479;10 061;11 827;14 025;17 186;21 603;24 419;28 282;40 842;111;109;111;114;116;5 284;8 340;9 414;9 976;11 306;13 259;16 148;20 221;22 491;25 338;34 770;39,6;38,9;3,0;6,6;5,3;5,5;5,1;4,6;5,2;5,5;4,2;;;;;;;;
1610;Município;Vila Nova de Cerveira;5 073;85 685;77 878;16 890;4 517;7 590;8 697;9 546;10 796;12 639;15 118;18 584;20 877;23 775;32 823;95;100;100;98;93;4 476;7 506;8 656;9 518;10 466;11 944;14 333;17 459;19 703;22 018;29 021;37,3;37,3;2,9;6,5;3,9;3,4;3,7;3,9;3,5;4,2;5,7;;;;;;;;
112;NUTS 3;   Cávado;215 236;4 235 976;3 750 222;19 681;5 349;8 366;9 389;9 870;11 346;13 576;16 671;20 793;23 257;26 870;39 500;100;100;100;100;100;5 307;8 321;9 341;9 870;10 897;12 888;15 691;19 717;21 741;24 429;33 818;39,8;39,3;2,9;6,4;5,7;4,5;4,7;5,4;4,8;6,8;4,9;;;;;;;;
0301;Município;Amares;9 339;162 351;147 657;17 384;5 170;8 155;9 175;9 842;10 919;12 794;15 350;19 212;21 161;23 919;33 310;97;98;94;91;84;5 111;8 110;9 123;9 798;10 559;12 207;14 627;18 298;20 148;22 313;29 786;36,9;36,7;2,8;5,8;6,3;5,1;4,8;5,4;6,1;7,8;7,4;;;;;;;;
0302;Município;Barcelos;59 970;1 037 251;943 373;17 296;5 680;8 371;9 317;9 823;10 824;12 675;15 180;19 002;20 811;23 012;32 308;106;99;93;89;82;5 627;8 329;9 266;9 796;10 474;12 085;14 434;18 015;19 920;21 748;28 901;36,2;35,9;2,6;5,1;6,2;5,2;4,6;5,1;4,9;7,9;7,0;;;;;;;;
0303;Município;Braga;100 834;2 244 508;1 945 932;22 259;5 400;8 613;9 692;10 248;12 314;14 981;18 742;23 573;27 034;31 284;46 413;101;103;110;116;118;5 347;8 555;9 647;10 109;11 745;14 142;17 566;21 839;24 372;27 596;38 570;41,4;41,0;3,2;7,2;5,1;4,4;4,5;4,6;4,4;5,6;3,7;;;;;;;;
0306;Município;Esposende;18 689;363 283;320 381;19 438;5 284;8 251;9 276;9 865;11 047;13 256;16 080;20 134;22 549;26 263;39 014;99;99;98;97;99;5 257;8 172;9 211;9 829;10 655;12 574;15 099;19 153;21 157;23 876;33 241;40,5;39,7;2,9;6,3;6,1;4,5;5,0;4,7;6,0;7,2;6,0;;;;;;;;
0310;Município;Terras de Bouro;3 208;48 624;44 790;15 157;4 298;7 042;8 110;8 893;9 969;11 410;13 534;16 438;18 792;21 182;29 231;80;86;84;81;74;4 293;7 032;8 090;8 854;9 912;10 979;12 905;15 640;17 565;20 017;26 188;36,9;36,5;2,8;6,1;5,5;4,3;5,1;1,7;6,5;6,0;7,8;;;;;;;;
0313;Município;Vila Verde;23 196;379 960;348 090;16 380;4 870;7 634;8 707;9 564;10 419;12 049;14 326;18 067;20 134;22 579;31 926;91;93;89;87;81;4 847;7 568;8 663;9 515;10 218;11 585;13 668;17 051;19 270;21 281;28 538;36,9;36,7;2,8;5,9;6,2;3,9;4,7;6,6;6,5;7,8;8,1;;;;;;;;
119;NUTS 3;   Ave;223 153;4 036 708;3 643 659;18 089;5 710;8 515;9 453;9 870;11 161;13 180;15 708;19 398;21 322;23 868;34 469;100;100;100;100;100;5 658;8 460;9 407;9 870;10 727;12 567;14 996;18 492;20 313;22 344;30 315;37,3;36,8;2,6;5,4;6,5;4,6;4,5;5,1;5,8;8,5;7,1;;;;;;;;
0304;Município;Cabeceiras de Basto;7 310;112 120;103 586;15 338;4 379;7 138;8 163;8 959;9 870;11 227;13 365;16 795;19 059;21 029;30 048;77;86;85;89;87;4 308;7 098;8 133;8 926;9 870;10 829;12 835;15 945;18 120;20 206;27 161;37,4;37,0;2,8;6,3;5,5;4,2;4,1;5,0;7,0;6,9;8,9;;;;;;;;
0307;Município;Fafe;25 832;419 914;384 552;16 256;4 834;7 495;8 541;9 431;10 204;11 847;14 064;17 582;19 606;21 607;31 411;85;90;90;92;91;4 756;7 432;8 505;9 389;10 103;11 417;13 492;16 717;18 823;20 631;28 106;38,0;37,3;2,8;5,9;5,9;5,2;3,6;3,7;6,1;8,1;8,4;;;;;;;;
0308;Município;Guimarães;84 738;1 582 614;1 419 522;18 677;6 086;8 843;9 686;9 985;11 419;13 537;16 024;19 622;21 490;24 030;34 990;107;102;103;101;102;6 048;8 791;9 658;9 940;10 936;12 876;15 323;18 788;20 500;22 534;30 588;37,3;36,8;2,6;5,1;6,7;4,7;4,7;5,9;6,2;8,8;6,4;;;;;;;;
1705;Município;Mondim de Basto;3 153;45 076;41 743;14 296;4 428;6 712;7 752;8 595;9 805;10 575;12 208;15 241;17 634;19 855;27 988;78;82;80;83;81;4 358;6 677;7 722;8 530;9 775;10 316;11 784;14 450;16 592;18 677;24 844;36,8;36,0;2,8;5,7;5,1;1,2;3,0;5,2;9,1;7,2;6,1;;;;;;;;
0309;Município;Póvoa de Lanhoso;10 555;166 576;153 407;15 782;4 657;7 649;8 715;9 576;10 353;11 915;14 081;17 457;19 492;21 532;29 751;82;92;90;91;86;4 607;7 631;8 683;9 521;10 172;11 424;13 459;16 499;18 580;20 508;26 903;36,3;35,7;2,7;5,8;5,3;3,1;3,3;4,6;5,8;7,5;7,4;;;;;;;;
0311;Município;Vieira do Minho;5 782;88 498;81 449;15 306;4 230;6 778;7 836;8 702;9 870;11 233;13 477;16 675;18 889;21 504;29 432;74;83;85;89;85;4 215;6 738;7 809;8 659;9 870;10 864;12 848;15 688;17 939;20 240;26 255;37,9;37,8;3,0;6,2;5,4;6,0;4,6;5,8;6,1;6,2;9,4;;;;;;;;
0312;Município;Vila Nova de Famalicão;72 616;1 396 667;1 252 655;19 234;6 087;8 883;9 710;10 184;11 899;14 012;16 867;20 671;22 856;26 139;37 422;107;103;106;107;109;6 074;8 828;9 706;10 072;11 331;13 329;15 987;19 675;21 534;23 939;32 593;37,1;36,8;2,7;5,4;6,5;4,7;4,8;5,9;5,6;8,3;5,3;;;;;;;;
0314;Município;Vizela;13 167;225 245;206 746;17 107;6 205;8 925;9 660;9 912;11 076;12 976;15 247;18 793;20 420;22 346;30 442;109;102;98;96;88;6 167;8 884;9 636;9 888;10 659;12 391;14 658;17 910;19 827;21 381;27 614;34,5;34,3;2,4;4,5;7,3;5,6;4,6;6,4;5,8;10,2;7,8;;;;;;;;
11A;NUTS 3;   A. M. Porto;937 721;19 890 088;17 193 356;21 211;5 323;8 443;9 450;9 953;11 733;14 078;17 347;21 784;24 869;28 905;43 276;100;100;100;100;100;5 284;8 367;9 387;9 906;11 217;13 307;16 219;20 240;22 602;25 711;36 158;41,4;40,9;3,1;6,8;5,2;4,4;4,1;4,1;5,2;6,3;4,0;;;;;;;;
0104;Município;Arouca;10 549;175 088;159 937;16 598;5 284;7 990;8 936;9 706;10 669;12 380;14 546;18 018;20 094;22 425;31 140;99;95;88;81;72;5 284;7 939;8 874;9 675;10 391;11 840;13 903;17 055;19 234;21 203;28 012;35,8;35,7;2,7;5,3;6,1;4,9;4,9;5,6;5,8;7,4;7,9;;;;;;;;
0107;Município;Espinho;16 777;346 873;301 322;20 675;5 471;8 500;9 431;9 947;11 590;13 885;16 779;21 223;24 224;28 641;43 208;103;100;99;97;100;5 402;8 460;9 373;9 893;11 092;13 113;15 785;19 790;22 190;25 461;35 752;41,0;40,1;3,0;6,6;5,5;5,6;4,7;5,1;4,8;6,2;4,9;;;;;;;;
1304;Município;Gondomar;87 151;1 666 655;1 484 821;19 124;5 318;8 412;9 424;9 903;11 542;13 709;16 679;20 708;23 170;26 657;38 441;100;100;97;93;89;5 298;8 352;9 382;9 870;11 075;13 009;15 636;19 383;21 524;24 195;33 127;38,9;38,2;2,9;6,3;5,4;4,9;4,2;4,2;5,6;6,7;4,7;;;;;;;;
1306;Município;Maia;70 913;1 689 124;1 448 947;23 820;5 968;9 090;9 870;10 722;13 121;16 137;20 290;25 912;29 650;34 436;50 248;112;104;115;119;116;5 911;9 023;9 870;10 389;12 410;15 080;18 748;23 358;26 248;29 878;41 439;41,1;40,8;3,3;7,0;4,8;3,8;3,5;3,8;6,0;6,1;4,6;;;;;;;;
1308;Município;Matosinhos;93 634;2 199 304;1 869 854;23 488;5 743;8 897;9 795;10 498;12 712;15 478;19 236;24 385;28 024;32 679;49 073;108;104;110;113;113;5 678;8 832;9 755;10 260;12 075;14 512;17 795;22 064;24 843;28 296;40 170;41,8;41,5;3,2;7,1;4,4;4,2;3,1;3,3;5,3;5,6;4,2;;;;;;;;
0113;Município;Oliveira de Azeméis;36 331;686 556;616 044;18 897;6 010;8 765;9 696;10 148;11 749;13 816;16 514;20 391;22 715;25 723;35 936;113;103;98;91;83;5 974;8 707;9 643;10 042;11 246;13 084;15 568;19 273;21 322;23 760;31 609;37,1;36,5;2,7;5,3;5,8;4,5;4,0;5,1;5,4;7,7;5,6;;;;;;;;
1310;Município;Paredes;43 736;698 914;638 360;15 980;4 219;7 219;8 431;9 306;10 073;11 614;13 848;17 435;19 444;21 666;31 060;79;89;82;78;72;4 195;7 180;8 375;9 264;10 006;11 209;13 145;16 473;18 645;20 606;27 739;38,8;38,1;2,9;6,6;6,5;5,4;4,5;5,0;7,9;8,6;8,5;;;;;;;;
1312;Município;Porto;135 235;3 577 826;2 874 710;26 456;4 502;7 684;8 923;9 818;11 749;14 683;19 068;25 831;30 639;36 963;58 606;85;94;104;123;135;4 452;7 578;8 813;9 751;11 152;13 674;17 351;22 511;25 901;30 298;45 696;47,4;47,5;4,0;10,3;2,9;2,8;2,8;1,9;2,3;2,9;2,3;;;;;;;;
1313;Município;Póvoa de Varzim;34 507;656 931;581 755;19 038;4 805;7 659;8 788;9 679;10 859;13 043;16 010;20 085;22 670;26 222;38 937;90;93;93;91;90;4 756;7 572;8 707;9 635;10 505;12 417;15 115;18 962;21 131;23 796;33 320;40,8;40,3;3,1;7,0;6,0;5,4;5,0;5,7;5,3;7,0;5,5;;;;;;;;
0109;Município;Santa Maria da Feira;72 570;1 365 765;1 220 173;18 820;5 617;8 502;9 458;9 945;11 460;13 429;16 021;19 850;22 208;25 358;36 323;106;100;95;89;84;5 570;8 460;9 405;9 906;10 985;12 767;15 166;18 768;20 895;23 298;31 668;38,2;37,7;2,8;5,7;6,2;5,3;5,0;5,9;6,6;7,3;6,0;;;;;;;;
1314;Município;Santo Tirso;37 081;683 135;614 404;18 423;6 130;8 798;9 673;10 006;11 437;13 488;15 886;19 396;21 363;24 000;34 960;115;102;96;86;81;6 096;8 761;9 641;9 948;10 972;12 809;15 139;18 330;20 255;22 330;30 509;36,9;36,3;2,5;5,0;6,4;4,3;4,1;5,1;5,8;8,7;7,6;;;;;;;;
0116;Município;São João da Madeira;12 555;244 779;215 856;19 497;5 387;8 153;9 176;9 870;11 405;13 341;16 069;19 950;22 678;26 245;39 460;101;97;95;91;91;5 355;8 090;9 131;9 846;10 935;12 666;15 130;18 706;21 142;23 912;33 647;39,9;39,5;3,0;6,3;5,8;4,4;4,4;6,2;5,7;7,3;4,5;;;;;;;;
1318;Município;Trofa;21 107;393 301;352 904;18 634;5 756;8 710;9 626;10 039;11 641;13 751;16 529;20 099;22 344;25 376;35 889;108;102;98;90;83;5 710;8 660;9 581;9 961;11 109;13 004;15 587;18 978;20 970;23 281;31 407;36,9;36,5;2,7;5,5;5,7;4,6;4,7;4,8;5,1;6,7;5,4;;;;;;;;
0119;Município;Vale de Cambra;11 522;220 643;197 726;19 150;5 978;8 633;9 592;10 144;11 717;13 859;16 529;20 341;22 927;26 328;36 863;112;102;98;92;85;5 956;8 590;9 548;10 042;11 257;13 100;15 577;19 151;21 333;24 017;32 389;37,3;37,1;2,8;5,4;4,4;4,2;3,9;4,8;4,8;5,0;3,2;;;;;;;;
1315;Município;Valongo;50 124;980 750;873 386;19 566;5 439;8 595;9 600;10 056;11 867;14 138;17 339;21 564;24 331;27 790;39 336;102;102;100;98;91;5 406;8 561;9 556;9 978;11 331;13 360;16 210;20 143;22 318;25 012;33 818;38,6;38,0;2,9;6,3;5,6;5,0;4,6;4,9;6,2;6,6;4,8;;;;;;;;
1316;Município;Vila do Conde;42 896;880 366;772 585;20 523;5 762;8 541;9 489;9 944;11 683;14 043;17 256;21 428;24 348;28 159;41 196;108;100;100;98;95;5 703;8 476;9 436;9 901;11 178;13 330;16 203;20 063;22 307;25 316;35 106;40,0;39,5;3,0;6,2;6,1;5,0;4,9;6,1;6,2;7,3;4,6;;;;;;;;
1317;Município;Vila Nova de Gaia;161 033;3 424 077;2 970 574;21 263;5 400;8 517;9 558;10 092;11 949;14 323;17 644;22 157;25 254;29 232;43 541;101;101;102;102;101;5 353;8 460;9 502;10 002;11 416;13 545;16 475;20 505;22 848;25 965;36 424;41,0;40,5;3,1;6,8;5,2;4,4;4,2;3,8;5,4;6,1;3,9;;;;;;;;
11B;NUTS 3;Alto Tâmega e Barroso;40 834;657 035;594 804;16 090;4 108;6 596;7 606;8 601;9 870;11 301;13 665;17 339;19 739;22 407;32 694;100;100;100;100;100;4 022;6 540;7 533;8 541;9 870;10 910;12 997;16 281;18 521;20 815;28 597;40,1;39,3;3,2;7,1;4,9;3,4;3,4;2,8;6,9;6,4;6,5;;;;;;;;
1702;Município;Boticas;2 365;33 930;31 406;14 347;3 918;6 299;7 197;8 135;9 770;10 569;12 206;15 146;17 294;19 513;27 616;95;95;94;88;84;3 801;6 206;7 135;8 097;9 741;10 313;11 664;14 489;16 245;18 870;24 791;38,8;37,9;3,0;6,5;5,1;4,7;2,5;3,2;7,5;7,7;6,0;;;;;;;;
1703;Município;Chaves;18 662;333 571;297 459;17 874;4 265;6 971;8 218;9 177;10 337;12 320;15 208;19 552;22 003;25 175;37 403;104;108;109;111;114;4 200;6 915;8 137;9 133;10 160;11 808;14 386;18 290;20 455;22 833;31 966;41,2;40,2;3,3;7,6;4,9;3,5;3,1;2,4;6,8;6,8;5,0;;;;;;;;
1706;Município;Montalegre;4 493;65 621;59 823;14 605;3 910;6 299;7 159;7 933;9 661;10 619;12 499;15 477;17 651;20 570;29 284;95;94;94;89;90;3 822;6 165;7 069;7 857;9 588;10 357;11 950;14 572;16 412;19 160;26 107;38,5;38,1;3,1;6,8;4,9;0,8;2,7;2,4;10,1;7,1;5,7;;;;;;;;
1709;Município;Ribeira de Pena;2 844;41 119;37 900;14 458;4 149;6 293;7 162;8 182;9 718;10 706;12 690;15 768;17 751;19 893;27 851;101;94;95;90;85;4 073;6 253;7 103;8 157;9 704;10 423;12 216;14 976;16 625;18 863;25 066;37,6;37,3;3,0;6,2;3,9;5,0;3,4;0,1;-0,2;4,3;8,6;;;;;;;;
1712;Município;Valpaços;6 793;94 429;87 344;13 901;3 600;6 105;6 904;7 800;9 396;10 470;12 022;14 817;17 000;19 765;27 580;88;91;93;86;84;3 565;6 090;6 878;7 718;9 319;10 245;11 634;14 137;16 101;18 642;24 902;38,2;37,8;3,1;7,0;4,9;3,4;2,6;3,9;7,7;7,2;8,0;;;;;;;;
1713;Município;Vila Pouca de Aguiar;5 677;88 365;80 872;15 566;4 379;6 971;7 896;8 862;9 870;11 179;13 468;16 737;18 927;21 209;30 541;107;104;99;96;93;4 348;6 935;7 865;8 828;9 870;10 781;12 785;15 814;17 748;20 018;27 469;38,7;37,7;2,9;6,3;5,4;5,5;2,7;2,8;8,8;8,1;8,4;;;;;;;;
11C;NUTS 3;   Tâmega e Sousa;205 610;3 200 858;2 942 968;15 568;4 545;7 286;8 390;9 197;10 008;11 407;13 622;16 961;19 174;21 100;29 603;100;100;100;100;100;4 509;7 256;8 351;9 165;9 957;10 999;13 007;16 098;18 255;20 166;26 651;37,4;36,8;2,8;5,9;6,2;6,0;4,9;4,8;6,2;7,5;8,8;;;;;;;;
1301;Município;Amarante;26 006;416 456;378 837;16 014;4 190;6 968;8 145;9 001;9 945;11 292;13 503;17 079;19 439;21 717;31 808;92;97;99;101;107;4 151;6 927;8 095;8 966;9 916;10 908;12 891;16 111;18 369;20 589;28 074;39,6;38,7;3,0;6,8;5,9;5,2;4,3;4,0;7,6;7,5;8,4;;;;;;;;
1302;Município;Baião;8 024;118 248;109 450;14 737;4 650;7 176;8 242;9 000;9 932;11 110;13 223;16 157;18 109;20 274;27 735;102;98;97;94;94;4 621;7 151;8 216;8 970;9 911;10 761;12 585;15 282;17 120;19 282;25 015;35,4;35,1;2,7;5,4;4,8;5,3;3,0;4,2;5,8;6,6;7,3;;;;;;;;
0106;Município;Castelo de Paiva;7 834;118 208;110 066;15 089;5 172;7 734;8 662;9 490;10 284;11 588;13 632;16 609;18 918;20 940;27 912;114;103;102;99;94;5 144;7 691;8 639;9 443;10 150;11 161;13 078;15 798;17 987;19 950;25 343;35,0;34,0;2,6;4,9;5,6;4,3;4,5;3,7;7,0;6,7;8,7;;;;;;;;
0305;Município;Celorico de Basto;8 078;117 203;108 414;14 509;4 338;6 930;7 896;8 741;9 870;10 792;12 631;15 335;17 532;19 790;27 416;95;94;95;91;93;4 289;6 893;7 868;8 717;9 847;10 487;12 131;14 641;16 629;18 899;24 779;36,4;36,2;2,7;5,8;5,6;3,8;4,2;3,8;6,5;7,1;8,4;;;;;;;;
1804;Município;Cinfães;8 328;112 179;104 564;13 470;3 608;6 243;7 099;8 039;9 318;10 159;11 673;14 303;16 253;18 646;25 672;79;85;89;85;87;3 582;6 225;7 058;8 019;9 299;10 077;11 320;13 703;15 473;17 710;23 553;38,6;37,4;2,8;6,6;4,8;8,0;3,4;6,5;5,2;6,2;5,7;;;;;;;;
1303;Município;Felgueiras;29 498;473 379;435 130;16 048;5 284;8 022;8 975;9 682;10 406;11 880;14 109;17 627;19 681;21 494;29 424;116;107;104;103;99;5 284;7 989;8 940;9 657;10 200;11 400;13 486;16 732;18 932;20 629;26 632;35,7;35,3;2,6;5,0;7,5;5,0;5,1;5,1;6,8;10,0;11,5;;;;;;;;
1305;Município;Lousada;24 955;387 508;358 968;15 528;4 700;7 535;8 564;9 378;10 046;11 610;14 009;17 708;19 474;21 109;29 271;103;102;102;102;99;4 662;7 519;8 539;9 353;9 983;11 175;13 418;16 788;18 827;20 338;26 377;36,3;35,9;2,7;5,7;6,4;6,2;4,3;4,7;5,5;8,6;9,3;;;;;;;;
1307;Município;Marco de Canaveses;24 237;360 975;332 261;14 894;3 651;6 543;7 721;8 673;9 854;10 960;12 968;15 963;18 238;20 369;28 906;80;92;96;95;98;3 607;6 503;7 690;8 638;9 837;10 619;12 400;15 235;17 253;19 523;26 088;38,8;38,4;3,0;7,2;5,5;6,6;4,4;4,6;5,3;6,7;7,4;;;;;;;;
1309;Município;Paços de Ferreira;28 950;452 257;417 763;15 622;5 224;7 781;8 788;9 504;10 046;11 613;13 790;17 238;19 220;20 680;28 946;115;105;102;100;98;5 192;7 731;8 740;9 474;9 986;11 166;13 135;16 397;18 538;19 929;26 155;36,1;35,3;2,6;5,0;7,0;5,9;5,9;6,0;6,6;8,2;9,0;;;;;;;;
1311;Município;Penafiel;35 176;581 436;529 259;16 529;4 634;7 447;8 558;9 447;10 254;11 963;14 409;18 014;20 059;22 377;31 698;102;102;105;105;107;4 606;7 425;8 524;9 408;10 138;11 490;13 711;16 995;19 265;21 201;28 375;38,3;37,8;2,9;6,2;6,2;6,5;5,3;5,3;5,3;7,1;8,1;;;;;;;;
1813;Município;Resende;4 524;63 009;58 255;13 928;3 070;5 819;6 646;7 575;9 087;10 115;11 673;14 432;16 533;19 420;28 623;68;79;89;86;97;3 015;5 811;6 613;7 559;9 057;10 036;11 326;13 787;15 874;18 344;26 102;40,9;40,1;3,2;8,7;5,0;5,9;3,5;3,7;3,1;6,6;9,5;;;;;;;;
11D;NUTS 3;   Douro;89 195;1 570 784;1 410 722;17 611;4 657;7 216;8 303;9 175;10 351;12 151;14 808;19 032;21 429;24 548;36 663;100;100;100;100;100;4 604;7 180;8 247;9 126;10 175;11 672;14 075;17 871;20 111;22 558;31 554;40,6;39,5;3,1;6,9;5,4;5,6;4,2;3,9;6,3;6,7;6,3;;;;;;;;
1701;Município;Alijó;5 219;75 934;70 237;14 550;4 147;6 429;7 399;8 268;9 739;10 809;12 750;15 877;17 922;20 502;28 993;89;89;89;84;79;4 067;6 420;7 354;8 202;9 706;10 554;12 251;15 098;16 851;19 478;26 164;37,8;37,0;3,0;6,4;6,0;6,1;4,9;3,2;7,1;7,1;5,9;;;;;;;;
1801;Município;Armamar;2 512;38 265;35 087;15 233;4 166;6 589;7 447;8 359;9 804;10 931;12 979;16 225;18 547;20 866;29 407;89;90;90;87;80;4 158;6 542;7 412;8 340;9 756;10 577;12 429;15 533;17 570;19 814;26 939;38,9;38,3;3,0;6,5;4,9;6,9;4,6;5,7;1,7;5,2;6,4;;;;;;;;
