Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;;Nº;Nº;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;
11E;NUTS 3;   Terras de Trás-os-Montes;51 144;861 835;772 969;16 851;4 200;6 556;7 610;8 510;9 550;11 247;13 937;18 199;20 960;24 081;35 256;4 139;6 487;7 559;8 466;9 324;10 873;13 313;17 161;19 473;21 982;30 635;40,8;3,4;7,4;;;;;;;;
0401;Município;Alfândega da Fé;2 121;30 718;28 102;14 483;4 083;6 069;6 674;7 624;8 956;10 090;11 985;15 240;17 357;20 074;29 830;4 019;6 043;6 657;7 620;8 927;9 796;11 605;14 481;16 430;18 932;26 582;39,1;3,1;6,6;;;;;;;;
0402;Município;Bragança;16 598;327 982;288 099;19 760;4 549;7 380;8 532;9 061;10 773;13 156;17 104;22 151;25 108;28 661;41 709;4 491;7 323;8 488;9 031;10 364;12 544;16 049;20 549;22 661;25 601;34 951;41,3;3,5;7,8;;;;;;;;
0405;Município;Macedo de Cavaleiros;6 594;99 494;90 346;15 089;3 623;6 028;6 854;7 776;8 971;10 106;12 048;15 638;18 073;21 262;31 778;3 601;6 013;6 843;7 745;8 949;9 859;11 551;14 914;17 022;19 634;27 665;41,0;3,3;7,7;;;;;;;;
0406;Município;Miranda do Douro;3 242;54 551;49 014;16 826;4 562;6 854;7 766;8 699;9 968;11 873;14 910;18 501;20 755;23 591;33 400;4 454;6 825;7 735;8 672;9 659;11 371;14 144;17 607;19 272;21 398;29 348;39,1;3,1;6,6;;;;;;;;
0407;Município;Mirandela;10 002;167 293;150 761;16 726;4 107;6 613;7 681;8 619;9 610;11 283;13 952;18 108;20 917;23 929;35 308;4 054;6 596;7 628;8 572;9 358;10 922;13 269;17 158;19 470;21 990;30 812;40,5;3,3;7,6;;;;;;;;
0408;Município;Mogadouro;4 090;62 619;56 690;15 310;4 002;6 297;7 088;7 958;9 032;10 362;12 516;16 199;18 495;21 396;31 918;4 002;6 255;7 032;7 887;9 031;10 124;12 023;15 167;17 457;19 800;27 336;40,1;3,2;6,8;;;;;;;;
0410;Município;Vila Flor;2 680;38 900;35 720;14 515;3 731;6 253;7 121;7 893;9 065;10 347;12 269;15 169;17 111;20 104;29 353;3 726;6 223;7 085;7 861;9 037;10 101;11 768;14 496;16 461;19 168;26 367;39,1;3,1;7,1;;;;;;;;
0411;Município;Vimioso;2 002;28 706;26 304;14 339;4 011;6 221;6 952;7 735;8 997;10 115;12 143;15 603;17 648;20 104;27 579;4 002;6 199;6 918;7 725;8 973;9 870;11 724;14 652;16 800;18 802;24 976;38,5;3,0;6,2;;;;;;;;
0412;Município;Vinhais;3 815;51 572;47 933;13 518;4 333;6 023;6 769;7 586;8 896;9 824;11 519;14 369;16 737;19 280;26 437;4 279;6 016;6 736;7 559;8 890;9 583;11 237;13 878;15 739;18 227;24 071;37,1;3,0;5,6;;;;;;;;
19;NUTS 2;  Centro;825 097;15 110 712;13 452 353;18 314;5 201;7 829;8 768;9 185;10 651;12 652;15 542;19 638;22 298;25 557;36 779;5 159;7 784;8 735;9 162;10 282;12 079;14 691;18 347;20 687;23 298;31 719;39,0;3,0;6,1;;;;;;;;
191;NUTS 3;   Região de Aveiro;187 374;3 450 298;3 067 525;18 414;5 010;7 752;8 711;9 203;10 693;12 666;15 513;19 644;22 336;25 580;37 016;4 976;7 716;8 678;9 178;10 303;12 067;14 648;18 366;20 780;23 403;31 935;39,4;3,0;6,4;;;;;;;;
0101;Município;Águeda;24 174;418 193;378 266;17 299;5 481;8 026;8 809;9 181;10 366;12 064;14 518;18 085;20 630;23 450;33 037;5 448;7 997;8 790;9 156;10 002;11 597;13 845;17 204;19 467;21 956;29 451;37,8;2,7;5,4;;;;;;;;
0102;Município;Albergaria-a-Velha;12 567;213 996;194 917;17 028;5 262;7 989;8 885;9 323;10 695;12 651;15 180;18 653;21 161;24 017;32 305;5 239;7 959;8 858;9 287;10 346;12 101;14 390;17 664;19 741;22 318;29 058;36,5;2,8;5,5;;;;;;;;
0103;Município;Anadia;14 305;247 338;220 380;17 290;4 949;7 338;8 353;8 959;10 145;11 752;14 181;17 609;19 951;23 104;33 023;4 928;7 285;8 321;8 930;9 796;11 307;13 474;16 701;18 774;21 432;29 166;39,5;2,9;5,9;;;;;;;;
0105;Município;Aveiro;42 073;919 590;791 135;21 857;5 253;8 329;9 046;9 821;11 843;14 402;18 279;23 712;26 983;31 285;46 513;5 200;8 270;9 022;9 515;11 297;13 571;16 900;21 578;24 139;27 462;38 266;41,3;3,3;7,4;;;;;;;;
0108;Município;Estarreja;13 351;229 614;207 431;17 198;4 911;7 506;8 570;9 164;10 610;12 475;15 100;18 900;21 357;24 241;33 660;4 861;7 480;8 532;9 142;10 238;11 848;14 230;17 729;19 989;22 431;29 876;37,8;3,0;6,1;;;;;;;;
0110;Município;Ílhavo;19 951;384 828;339 302;19 289;4 792;7 693;8 761;9 286;11 012;13 181;16 368;20 975;23 711;27 194;39 549;4 792;7 656;8 710;9 241;10 587;12 478;15 345;19 364;21 826;24 501;33 817;40,3;3,2;7,1;;;;;;;;
