DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Czechia,2017,51847,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Czechia,2018,65910,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Czechia,2019,105888,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Czechia,2020,63095,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Czechia,2021,69360,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Czechia,2022,347429,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Czechia,2023,142149,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Czechia,2024,123910,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2013,692713,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2014,898840,e,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2015,1595865,e,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2016,1042484,e,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2017,900291,e,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2018,855708,e,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2019,834338,e,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2020,666639,e,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2021,801361,e,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2022,1977121,e,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2023,1303251,e,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Germany,2024,1078504,e,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2013,60312,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2014,68388,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2015,78492,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2016,74383,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2017,68579,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2018,64669,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2019,61384,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2020,57230,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2021,63489,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2022,121183,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2023,98344,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Denmark,2024,101724,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2013,4109,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2014,3904,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2015,15413,b,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2016,14822,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2017,17616,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2018,17547,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2019,18259,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2020,16209,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2021,19524,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2022,49414,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2023,26399,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Estonia,2024,18634,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2013,57946,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2014,59013,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2015,64446,b,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2016,116867,b,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2017,112247,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2018,119489,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2019,129459,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2020,84221,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2021,57120,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2022,95374,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2023,116591,,
