size_band;gender;year;employees_count
200-249 pessoas;feminino;2021;38363
200-249 pessoas;feminino;2022;43046
200-249 pessoas;feminino;2023;45517
200-249 pessoas;feminino;2024;44665
250-499 pessoas;masculino;2014;88583
250-499 pessoas;masculino;2015;94726
250-499 pessoas;masculino;2016;103435
250-499 pessoas;masculino;2017;113234
250-499 pessoas;masculino;2018;118339
250-499 pessoas;masculino;2019;121578
250-499 pessoas;masculino;2020;115770
250-499 pessoas;masculino;2021;120073
250-499 pessoas;masculino;2022;126614
250-499 pessoas;masculino;2023;137679
250-499 pessoas;masculino;2024;144350
250-499 pessoas;feminino;2014;69560
250-499 pessoas;feminino;2015;78177
250-499 pessoas;feminino;2016;83378
250-499 pessoas;feminino;2017;88410
250-499 pessoas;feminino;2018;91983
250-499 pessoas;feminino;2019;96230
250-499 pessoas;feminino;2020;90514
250-499 pessoas;feminino;2021;92515
250-499 pessoas;feminino;2022;99434
250-499 pessoas;feminino;2023;104224
250-499 pessoas;feminino;2024;110477
500-999 pessoas;masculino;2014;62672
500-999 pessoas;masculino;2015;66876
500-999 pessoas;masculino;2016;64967
500-999 pessoas;masculino;2017;68306
500-999 pessoas;masculino;2018;72464
500-999 pessoas;masculino;2019;75831
500-999 pessoas;masculino;2020;83010
500-999 pessoas;masculino;2021;77589
500-999 pessoas;masculino;2022;93009
500-999 pessoas;masculino;2023;103568
500-999 pessoas;masculino;2024;107039
500-999 pessoas;feminino;2014;59272
500-999 pessoas;feminino;2015;60861
500-999 pessoas;feminino;2016;54569
500-999 pessoas;feminino;2017;66904
500-999 pessoas;feminino;2018;70680
500-999 pessoas;feminino;2019;74455
500-999 pessoas;feminino;2020;77829
500-999 pessoas;feminino;2021;78540
500-999 pessoas;feminino;2022;88453
500-999 pessoas;feminino;2023;91562
500-999 pessoas;feminino;2024;84274
1 000 e + pessoas;masculino;2014;73609
1 000 e + pessoas;masculino;2015;72471
1 000 e + pessoas;masculino;2016;84388
1 000 e + pessoas;masculino;2017;97829
1 000 e + pessoas;masculino;2018;104707
1 000 e + pessoas;masculino;2019;111296
1 000 e + pessoas;masculino;2020;105437
1 000 e + pessoas;masculino;2021;107417
1 000 e + pessoas;masculino;2022;116877
1 000 e + pessoas;masculino;2023;120353
1 000 e + pessoas;masculino;2024;131028
1 000 e + pessoas;feminino;2014;99982
1 000 e + pessoas;feminino;2015;103596
1 000 e + pessoas;feminino;2016;121863
1 000 e + pessoas;feminino;2017;125118
1 000 e + pessoas;feminino;2018;130833
1 000 e + pessoas;feminino;2019;139886
1 000 e + pessoas;feminino;2020;138866
1 000 e + pessoas;feminino;2021;141854
1 000 e + pessoas;feminino;2022;149605
1 000 e + pessoas;feminino;2023;157336
1 000 e + pessoas;feminino;2024;168272
