region;year;employees_count
Medio Tejo;2020;50877
Medio Tejo;2021;50282
Medio Tejo;2022;53904
Medio Tejo;2023;55728
Medio Tejo;2024;55609
Leziria do Tejo;2014;50430
Leziria do Tejo;2015;51190
Leziria do Tejo;2016;53457
Leziria do Tejo;2017;57261
Leziria do Tejo;2018;59468
Leziria do Tejo;2019;60670
Leziria do Tejo;2020;62732
Leziria do Tejo;2021;62898
Leziria do Tejo;2022;66466
Leziria do Tejo;2023;69095
Leziria do Tejo;2024;72771
Grande Lisboa;2014;677265
Grande Lisboa;2015;692513
Grande Lisboa;2016;728120
Grande Lisboa;2017;753266
Grande Lisboa;2018;788380
Grande Lisboa;2019;807855
Grande Lisboa;2020;797460
Grande Lisboa;2021;801493
Grande Lisboa;2022;875584
Grande Lisboa;2023;928991
Grande Lisboa;2024;956374
Peninsula de Setubal;2014;120734
Peninsula de Setubal;2015;123784
Peninsula de Setubal;2016;127295
Peninsula de Setubal;2017;134832
Peninsula de Setubal;2018;143332
Peninsula de Setubal;2019;147144
Peninsula de Setubal;2020;146898
Peninsula de Setubal;2021;148398
Peninsula de Setubal;2022;158898
Peninsula de Setubal;2023;163331
Peninsula de Setubal;2024;167647
Alentejo;2014;94633
Alentejo;2015;98630
Alentejo;2016;102620
Alentejo;2017;106990
Alentejo;2018;110648
Alentejo;2019;112693
Alentejo;2020;115845
Alentejo;2021;116079
Alentejo;2022;125145
Alentejo;2023;131629
Alentejo;2024;130362
Alentejo Litoral;2014;20669
Alentejo Litoral;2015;22067
Alentejo Litoral;2016;23455
Alentejo Litoral;2017;25004
Alentejo Litoral;2018;26593
Alentejo Litoral;2019;28106
Alentejo Litoral;2020;31575
Alentejo Litoral;2021;31890
Alentejo Litoral;2022;34475
Alentejo Litoral;2023;36327
Alentejo Litoral;2024;34505
Baixo Alentejo;2014;22426
Baixo Alentejo;2015;23239
Baixo Alentejo;2016;23619
Baixo Alentejo;2017;25024
Baixo Alentejo;2018;25408
Baixo Alentejo;2019;25504
Baixo Alentejo;2020;25389
Baixo Alentejo;2021;25463
Baixo Alentejo;2022;28356
Baixo Alentejo;2023;29928
Baixo Alentejo;2024;31284
Alto Alentejo;2014;19009
Alto Alentejo;2015;19293
Alto Alentejo;2016;20176
Alto Alentejo;2017;20664
Alto Alentejo;2018;20620
Alto Alentejo;2019;20826
Alto Alentejo;2020;21098
Alto Alentejo;2021;20537
Alto Alentejo;2022;21623
Alto Alentejo;2023;22968
Alto Alentejo;2024;22423
Alentejo Central;2014;32529
Alentejo Central;2015;34031
Alentejo Central;2016;35370
Alentejo Central;2017;36298
Alentejo Central;2018;38027
Alentejo Central;2019;38257
Alentejo Central;2020;37783
