year;quarter;period;country;gdp_million_eur;unit;price_basis;seasonal_adjusted;notes;source_id;source
2017;Q4;2017-Q4;PT;49792.779;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2018;Q1;2018-Q1;PT;50342.399;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2018;Q2;2018-Q2;PT;50917.168;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2018;Q3;2018-Q3;PT;51600.742;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2018;Q4;2018-Q4;PT;52137.337;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2019;Q1;2019-Q1;PT;52902.084;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2019;Q2;2019-Q2;PT;53135.131;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2019;Q3;2019-Q3;PT;53898.781;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2019;Q4;2019-Q4;PT;54553.899;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2020;Q1;2020-Q1;PT;52436.061;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2020;Q2;2020-Q2;PT;45407.09;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2020;Q3;2020-Q3;PT;51359.173;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2020;Q4;2020-Q4;PT;51830.381;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2021;Q1;2021-Q1;PT;51295.218;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2021;Q2;2021-Q2;PT;53216.284;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2021;Q3;2021-Q3;PT;55311.859;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2021;Q4;2021-Q4;PT;56670.384;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2022;Q1;2022-Q1;PT;58623.358;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2022;Q2;2022-Q2;PT;60096.759;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2022;Q3;2022-Q3;PT;61610.107;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2022;Q4;2022-Q4;PT;63626.862;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2023;Q1;2023-Q1;PT;66102.056;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2023;Q2;2023-Q2;PT;67070.033;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
