year;quarter;period;country;gdp_chain_volume_million_eur;unit;price_basis;seasonal_adjusted;notes;source_id;source
2018;Q4;2018-Q4;PT;54928.548;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2019;Q1;2019-Q1;PT;55380.995;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2019;Q2;2019-Q2;PT;55688.092;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2019;Q3;2019-Q3;PT;55917.986;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2019;Q4;2019-Q4;PT;56437.182;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2020;Q1;2020-Q1;PT;54035.923;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2020;Q2;2020-Q2;PT;45906.173;million_eur;chain_volume_2021;yes;Impacto COVID-19 — maior queda em volume real;F007;INE - Instituto Nacional de Estatística
2020;Q3;2020-Q3;PT;52485.789;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2020;Q4;2020-Q4;PT;52665.233;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2021;Q1;2021-Q1;PT;51130.05;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2021;Q2;2021-Q2;PT;53492.658;million_eur;chain_volume_2021;yes;Recuperacao pos-COVID em volume real;F007;INE - Instituto Nacional de Estatística
2021;Q3;2021-Q3;PT;55392.655;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2021;Q4;2021-Q4;PT;56478.382;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2022;Q1;2022-Q1;PT;57306.851;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2022;Q2;2022-Q2;PT;57529.752;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2022;Q3;2022-Q3;PT;58182.336;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2022;Q4;2022-Q4;PT;58598.716;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2023;Q1;2023-Q1;PT;59343.06;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2023;Q2;2023-Q2;PT;59631.229;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2023;Q3;2023-Q3;PT;59692.307;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2023;Q4;2023-Q4;PT;60131.158;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2024;Q1;2024-Q1;PT;60560.798;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2024;Q2;2024-Q2;PT;60876.587;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2024;Q3;2024-Q3;PT;60964.596;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2024;Q4;2024-Q4;PT;61684.19;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2025;Q1;2025-Q1;PT;61510.004;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2025;Q2;2025-Q2;PT;61931.393;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2025;Q3;2025-Q3;PT;62302.804;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2025;Q4;2025-Q4;PT;62885.097;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2026;Q1;2026-Q1;PT;62915.273;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
