year;district;new_registrations_count
2019;PORTO;15570
2019;RA ACORES;499
2019;RA MADEIRA;1190
2019;SANTAREM;4895
2019;SETUBAL;14531
2019;VIANA DO CASTELO;1737
2019;VILA REAL;618
2019;VISEU;1879
2019;EVORA;1267
2020;AVEIRO;3977
2020;BEJA;9584
2020;BRAGA;4596
2020;BRAGANCA;712
2020;CASTELO BRANCO;1262
2020;COIMBRA;2535
2020;FARO;15327
2020;GUARDA;326
2020;LEIRIA;4325
2020;LISBOA;64752
2020;OUTRO;3275
2020;PORTALEGRE;362
2020;PORTO;12733
2020;RA ACORES;360
2020;RA MADEIRA;779
2020;SANTAREM;3382
2020;SETUBAL;16656
2020;VIANA DO CASTELO;1116
2020;VILA REAL;384
2020;VISEU;1519
2020;EVORA;771
2021;AVEIRO;4025
2021;BEJA;9007
2021;BRAGA;4628
2021;BRAGANCA;949
2021;CASTELO BRANCO;1517
2021;COIMBRA;1993
2021;FARO;15718
2021;GUARDA;412
2021;LEIRIA;3907
2021;LISBOA;46336
2021;OUTRO;3711
2021;PORTALEGRE;374
2021;PORTO;11630
2021;RA ACORES;414
2021;RA MADEIRA;798
2021;SANTAREM;3224
2021;SETUBAL;10717
2021;VIANA DO CASTELO;1359
2021;VILA REAL;434
2021;VISEU;1544
2021;EVORA;967
2022;AVEIRO;21250
2022;BEJA;35503
2022;BRAGA;24280
2022;BRAGANCA;3047
2022;CASTELO BRANCO;5947
2022;COIMBRA;14153
2022;FARO;41673
2022;GUARDA;2060
2022;LEIRIA;23121
2022;LISBOA;172056
2022;OUTRO;4281
2022;PORTALEGRE;1816
2022;PORTO;57537
2022;RA ACORES;1489
2022;RA MADEIRA;3549
2022;SANTAREM;14910
2022;SETUBAL;45269
2022;VIANA DO CASTELO;7872
2022;VILA REAL;2976
2022;VISEU;8601
2022;EVORA;3983
2023;AVEIRO;19153
2023;BEJA;24832
2023;BRAGA;16030
2023;BRAGANCA;2385
2023;CASTELO BRANCO;6629
2023;COIMBRA;13315
2023;FARO;30166
2023;GUARDA;2259
2023;LEIRIA;25652
2023;LISBOA;117203
2023;OUTRO;42955
2023;PORTALEGRE;5938
2023;PORTO;53000
2023;RA ACORES;1702
2023;RA MADEIRA;4628
2023;SANTAREM;16763
2023;SETUBAL;44211
2023;VIANA DO CASTELO;7273
2023;VILA REAL;3941
2023;VISEU;7776
2023;EVORA;8375
2024;AVEIRO;10051
2024;BEJA;9949
2024;BRAGA;9157
2024;BRAGANCA;1430
2024;CASTELO BRANCO;3792
2024;COIMBRA;6915
2024;FARO;21553
2024;GUARDA;2276
2024;LEIRIA;14849
2024;LISBOA;65984
2024;OUTRO;25076
2024;PORTALEGRE;3950
2024;PORTO;33332
2024;RA ACORES;1291
2024;RA MADEIRA;2656
2024;SANTAREM;11426
2024;SETUBAL;23423
2024;VIANA DO CASTELO;4275
2024;VILA REAL;2575
2024;VISEU;4535
2024;EVORA;6715
2025;AVEIRO;5094
2025;BEJA;3065
2025;BRAGA;5778
2025;BRAGANCA;1503
2025;CASTELO BRANCO;1822
2025;COIMBRA;2891
2025;FARO;9608
2025;GUARDA;3540
2025;LEIRIA;4777
2025;LISBOA;56269
2025;OUTRO;5138
2025;PORTALEGRE;768
2025;PORTO;19499
2025;RA ACORES;1356
2025;RA MADEIRA;1858
2025;SANTAREM;9105
2025;SETUBAL;14825
2025;VIANA DO CASTELO;2048
2025;VILA REAL;1380
2025;VISEU;3912
2025;EVORA;3388
