year;district;employers_count
2012;OUTRO;515
2013;OUTRO;524
2014;OUTRO;544
2015;OUTRO;591
2016;OUTRO;638
2017;OUTRO;720
2018;OUTRO;820
2019;OUTRO;942
2020;OUTRO;1008
2021;OUTRO;1187
2022;OUTRO;1432
2023;OUTRO;1597
2024;OUTRO;1705
2025;OUTRO;1771
2010;PORTALEGRE;4618
2011;PORTALEGRE;4551
2012;PORTALEGRE;4375
2013;PORTALEGRE;4317
2014;PORTALEGRE;4324
2015;PORTALEGRE;4397
2016;PORTALEGRE;4402
2017;PORTALEGRE;4369
2018;PORTALEGRE;4395
2019;PORTALEGRE;4405
2020;PORTALEGRE;4365
2021;PORTALEGRE;4392
2022;PORTALEGRE;4539
2023;PORTALEGRE;4632
2024;PORTALEGRE;4695
2025;PORTALEGRE;4704
2010;PORTO;74250
2011;PORTO;73907
2012;PORTO;71840
2013;PORTO;70474
2014;PORTO;70509
2015;PORTO;72278
2016;PORTO;72773
2017;PORTO;74501
2018;PORTO;76380
2019;PORTO;79007
2020;PORTO;78722
2021;PORTO;79226
2022;PORTO;82070
2023;PORTO;84755
2024;PORTO;86576
2025;PORTO;87953
2010;RA ACORES;8060
2011;RA ACORES;7767
2012;RA ACORES;7780
2013;RA ACORES;7730
2014;RA ACORES;7825
2015;RA ACORES;8017
2016;RA ACORES;8151
2017;RA ACORES;8291
2018;RA ACORES;8418
2019;RA ACORES;8573
2020;RA ACORES;8493
2021;RA ACORES;8638
2022;RA ACORES;8901
2023;RA ACORES;9131
2024;RA ACORES;9359
2025;RA ACORES;9390
2010;RA MADEIRA;9442
2011;RA MADEIRA;9206
2012;RA MADEIRA;9371
2013;RA MADEIRA;8960
2014;RA MADEIRA;8803
2015;RA MADEIRA;8999
2016;RA MADEIRA;9059
2017;RA MADEIRA;9298
2018;RA MADEIRA;9605
2019;RA MADEIRA;9835
2020;RA MADEIRA;9849
2021;RA MADEIRA;10015
2022;RA MADEIRA;10553
2023;RA MADEIRA;10992
2024;RA MADEIRA;11457
2025;RA MADEIRA;11865
2010;SANTAREM;18353
2011;SANTAREM;17945
2012;SANTAREM;17056
2013;SANTAREM;16395
2014;SANTAREM;16232
2015;SANTAREM;16295
2016;SANTAREM;16335
2017;SANTAREM;16332
2018;SANTAREM;16364
2019;SANTAREM;16594
2020;SANTAREM;16444
2021;SANTAREM;16664
2022;SANTAREM;17112
2023;SANTAREM;17483
2024;SANTAREM;17938
2025;SANTAREM;18189
2010;SETUBAL;26827
2011;SETUBAL;26161
2012;SETUBAL;25203
2013;SETUBAL;24173
2014;SETUBAL;24001
2015;SETUBAL;24506
2016;SETUBAL;24752
2017;SETUBAL;25437
2018;SETUBAL;26718
2019;SETUBAL;28335
2020;SETUBAL;28629
2021;SETUBAL;29166
2022;SETUBAL;30946
2023;SETUBAL;32533
2024;SETUBAL;33715
2025;SETUBAL;34550
2010;VIANA DO CASTELO;10082
2011;VIANA DO CASTELO;9996
2012;VIANA DO CASTELO;9868
2013;VIANA DO CASTELO;9740
2014;VIANA DO CASTELO;9554
2015;VIANA DO CASTELO;9655
2016;VIANA DO CASTELO;9706
2017;VIANA DO CASTELO;9788
2018;VIANA DO CASTELO;9785
2019;VIANA DO CASTELO;9957
2020;VIANA DO CASTELO;9824
2021;VIANA DO CASTELO;9912
2022;VIANA DO CASTELO;10218
2023;VIANA DO CASTELO;10413
2024;VIANA DO CASTELO;10641
2025;VIANA DO CASTELO;10784
2010;VILA REAL;7789
2011;VILA REAL;7592
2012;VILA REAL;7372
2013;VILA REAL;7154
2014;VILA REAL;7062
2015;VILA REAL;7219
2016;VILA REAL;7214
2017;VILA REAL;7217
2018;VILA REAL;7373
2019;VILA REAL;7513
2020;VILA REAL;7398
2021;VILA REAL;7421
2022;VILA REAL;7656
2023;VILA REAL;7785
2024;VILA REAL;7765
2025;VILA REAL;7927
2010;VISEU;14249
2011;VISEU;14039
2012;VISEU;13622
2013;VISEU;13302
2014;VISEU;13177
2015;VISEU;13362
2016;VISEU;13306
2017;VISEU;13426
2018;VISEU;13467
2019;VISEU;13653
2020;VISEU;13483
2021;VISEU;13707
2022;VISEU;14051
2023;VISEU;14312
2024;VISEU;14558
2025;VISEU;14867
