year;district;employees_count;source_id;source
2019;Outro;16943;F014;Segurança Social
2020;Outro;15808;F014;Segurança Social
2021;Outro;16294;F014;Segurança Social
2022;Outro;16880;F014;Segurança Social
2023;Outro;22602;F014;Segurança Social
2024;Outro;25647;F014;Segurança Social
2025;Outro;22652;F014;Segurança Social
2010;Portalegre;34876;F014;Segurança Social
2011;Portalegre;34468;F014;Segurança Social
2012;Portalegre;32691;F014;Segurança Social
2013;Portalegre;32632;F014;Segurança Social
2014;Portalegre;33351;F014;Segurança Social
2015;Portalegre;33900;F014;Segurança Social
2016;Portalegre;34250;F014;Segurança Social
2017;Portalegre;35179;F014;Segurança Social
2018;Portalegre;35897;F014;Segurança Social
2019;Portalegre;36680;F014;Segurança Social
2020;Portalegre;36222;F014;Segurança Social
2021;Portalegre;37062;F014;Segurança Social
2022;Portalegre;38887;F014;Segurança Social
2023;Portalegre;40738;F014;Segurança Social
2024;Portalegre;42073;F014;Segurança Social
2025;Portalegre;41934;F014;Segurança Social
2010;Porto;660314;F014;Segurança Social
2011;Porto;657148;F014;Segurança Social
2012;Porto;624176;F014;Segurança Social
2013;Porto;606393;F014;Segurança Social
2014;Porto;618843;F014;Segurança Social
2015;Porto;642524;F014;Segurança Social
2016;Porto;663007;F014;Segurança Social
2017;Porto;689434;F014;Segurança Social
2018;Porto;717692;F014;Segurança Social
2019;Porto;742528;F014;Segurança Social
2020;Porto;737094;F014;Segurança Social
2021;Porto;750502;F014;Segurança Social
2022;Porto;795308;F014;Segurança Social
2023;Porto;825565;F014;Segurança Social
2024;Porto;841313;F014;Segurança Social
2025;Porto;852415;F014;Segurança Social
2010;Região Autónoma dos Açores;76012;F014;Segurança Social
2011;Região Autónoma dos Açores;75152;F014;Segurança Social
2012;Região Autónoma dos Açores;71812;F014;Segurança Social
2013;Região Autónoma dos Açores;70068;F014;Segurança Social
2014;Região Autónoma dos Açores;71710;F014;Segurança Social
2015;Região Autónoma dos Açores;74989;F014;Segurança Social
2016;Região Autónoma dos Açores;77757;F014;Segurança Social
2017;Região Autónoma dos Açores;80352;F014;Segurança Social
2018;Região Autónoma dos Açores;83161;F014;Segurança Social
