Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por sujeito passivo (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por sujeito passivo (2019 - 2021);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2020);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2021);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2019;2021;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;;;;;;;;
0307;Município;Fafe;36 104;387 227;354 837;10 725;3 467;5 216;5 874;6 433;7 729;8 991;9 705;11 209;12 246;13 766;19 948;78;88;95;91;94;3 415;5 180;5 829;6 399;7 660;8 908;9 425;10 757;11 648;12 872;17 527;33,4;33,4;2,5;5,1;4,1;1,4;2,6;3,0;4,9;5,7;4,8;;;;;;;;
0308;Município;Guimarães;117 847;1 451 405;1 305 506;12 316;4 716;6 404;7 028;7 639;8 894;9 655;10 858;12 485;13 633;15 204;21 855;108;105;102;101;103;4 704;6 365;6 993;7 581;8 792;9 415;10 443;11 823;12 767;14 000;18 903;31,8;31,6;2,2;4,0;3,3;1,3;2,4;1,1;5,1;4,1;6,7;;;;;;;;
1705;Município;Mondim de Basto;4 425;41 974;38 855;9 486;2 763;4 571;4 902;5 448;6 647;8 093;9 306;10 357;11 193;12 613;17 715;63;73;85;83;83;2 744;4 562;4 883;5 417;6 612;8 006;9 207;9 876;10 632;11 861;15 679;34,3;34,2;2,6;5,7;4,0;3,5;2,6;3,7;4,9;5,5;3,4;;;;;;;;
0309;Município;Póvoa de Lanhoso;14 593;152 289;140 414;10 436;3 303;5 091;5 734;6 345;7 761;9 046;9 800;11 180;12 169;13 542;18 203;74;85;95;90;85;3 244;5 054;5 680;6 287;7 631;8 972;9 466;10 715;11 519;12 618;16 198;33,0;33,0;2,5;5,0;5,0;4,7;3,4;3,2;6,3;6,6;5,1;;;;;;;;
0311;Município;Vieira do Minho;8 090;80 528;74 275;9 954;2 993;4 693;5 148;5 688;6 937;8 277;9 381;10 966;11 954;13 291;18 485;68;77;87;88;87;2 968;4 671;5 139;5 673;6 825;8 157;9 310;10 429;11 287;12 427;16 467;34,4;34,3;2,7;5,5;4,1;2,5;1,5;2,4;5,0;6,7;4,2;;;;;;;;
0312;Município;Vila Nova de Famalicão;101 033;1 265 123;1 140 441;12 522;4 756;6 471;7 141;7 809;9 107;10 038;11 401;13 209;14 500;16 220;22 628;108;106;106;107;106;4 708;6 439;7 094;7 734;9 008;9 700;10 905;12 408;13 424;14 759;19 426;31,2;31,0;2,3;4,1;3,1;1,4;2,0;1,4;5,6;4,1;6,2;;;;;;;;
0314;Município;Vizela;18 407;206 165;189 592;11 200;4 674;6 240;6 864;7 443;8 777;9 432;10 395;11 674;12 585;13 869;18 686;107;102;99;93;88;4 660;6 215;6 835;7 392;8 692;9 363;10 025;11 175;11 909;12 959;16 620;28,5;28,8;2,1;3,6;4,0;-0,8;2,7;1,0;6,0;5,3;7,2;;;;;;;;
11A;NUTS 3;   A. M. Porto;1 269 337;18 258 429;15 829 462;14 384;4 431;6 153;6 962;7 747;9 203;10 443;12 228;14 787;16 650;19 200;28 225;100;100;100;100;100;4 395;6 095;6 889;7 642;9 079;10 029;11 569;13 607;15 006;16 896;23 261;36,5;36,2;2,8;5,3;3,1;1,2;1,1;0,9;5,3;5,2;4,5;;;;;;;;
0104;Município;Arouca;15 218;162 013;148 355;10 646;3 857;5 295;5 871;6 433;7 709;8 949;9 887;11 377;12 304;13 791;19 122;87;84;86;74;68;3 813;5 249;5 815;6 373;7 593;8 837;9 560;10 881;11 725;12 863;16 792;32,5;31,9;2,5;4,4;4,3;3,1;3,0;2,0;6,5;5,7;5,6;;;;;;;;
0107;Município;Espinho;22 651;319 054;277 757;14 086;4 525;6 160;6 914;7 617;9 022;10 161;11 881;14 400;16 328;19 112;28 692;102;99;97;98;102;4 478;6 068;6 847;7 510;8 866;9 753;11 300;13 242;14 724;16 799;23 459;36,6;35,7;2,8;5,2;3,1;1,1;1,6;0,9;7,4;4,7;4,5;;;;;;;;
