Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;;;;;;;;;;;;%;Nº;Nº;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;;;;
0908;Município;Manteigas;1 545;22 025;20 382;14 256;5 384;7 170;7 933;8 510;9 337;10 513;12 209;14 876;16 583;18 501;25 341;5 307;7 053;7 896;8 469;9 165;10 267;11 864;14 191;16 020;17 763;23 810;34,8;2,5;4,5;;;;;;;;;;;
0909;Município;Mêda;2 099;29 924;27 416;14 256;4 197;6 332;7 312;8 100;9 060;10 393;12 436;15 324;16 946;19 100;28 050;4 182;6 292;7 256;8 083;9 026;10 128;11 921;14 627;16 266;18 302;25 095;37,0;2,9;6,0;;;;;;;;;;;
0910;Município;Pinhel;4 134;58 497;53 912;14 150;4 282;6 214;7 191;7 800;8 891;10 240;12 267;15 582;17 390;19 812;27 644;4 255;6 191;7 144;7 772;8 875;9 977;11 829;14 700;16 715;18 759;24 991;37,3;3,0;5,9;;;;;;;;;;;
0911;Município;Sabugal;4 950;71 475;65 907;14 439;4 085;6 540;7 546;8 385;9 409;10 875;12 725;15 735;17 655;20 019;27 959;4 009;6 471;7 479;8 328;9 170;10 470;12 237;15 033;16 822;18 823;25 388;37,3;2,9;6,3;;;;;;;;;;;
0912;Município;Seia;10 790;165 401;151 710;15 329;5 284;7 220;8 059;8 558;9 548;10 943;13 075;16 138;18 114;20 748;29 530;5 240;7 200;8 025;8 538;9 300;10 621;12 621;15 503;17 330;19 535;26 547;36,4;2,7;5,1;;;;;;;;;;;
0913;Município;Trancoso;3 844;56 611;51 958;14 727;4 546;6 615;7 559;8 276;8 948;10 282;12 312;15 703;17 506;19 825;28 936;4 484;6 605;7 530;8 224;8 891;9 996;11 826;14 928;16 900;18 984;26 219;38,1;2,9;5,8;;;;;;;;;;;
170;NUTS 3;  A. M. Lisboa;1 513 335;34 256 016;28 906 897;22 636;5 016;7 829;8 650;9 473;11 585;14 394;18 207;23 611;27 059;31 563;47 254;4 960;7 783;8 600;9 160;11 068;13 506;16 773;21 215;23 946;27 373;38 725;43,3;3,5;7,8;;;;;;;;;;;
1502;Município;Alcochete;9 097;228 211;191 716;25 086;5 625;8 400;9 098;9 935;12 212;15 413;19 558;25 558;29 666;35 416;53 640;5 542;8 400;9 042;9 606;11 649;14 464;18 104;22 980;26 157;30 575;43 822;44,4;3,6;7,9;;;;;;;;;;;
1503;Município;Almada;92 290;1 959 586;1 679 775;21 233;4 913;7 730;8 573;9 367;11 427;14 086;17 725;22 763;26 018;30 222;44 383;4 880;7 671;8 533;9 153;10 950;13 238;16 361;20 539;23 078;26 376;36 790;41,9;3,4;7,5;;;;;;;;;;;
1115;Município;Amadora;92 168;1 719 269;1 514 063;18 654;4 763;7 338;8 341;8 891;10 616;12 812;15 927;20 234;23 169;26 777;38 890;4 722;7 298;8 300;8 867;10 242;12 165;14 843;18 542;20 934;23 792;32 874;40,2;3,3;7,0;;;;;;;;;;;
1504;Município;Barreiro;41 460;796 687;705 016;19 216;5 400;8 195;8 888;9 690;11 618;13 943;17 097;21 316;23 957;27 187;38 763;5 374;8 161;8 868;9 386;11 107;13 185;15 919;19 524;21 718;24 262;33 041;38,1;3,0;6,1;;;;;;;;;;;
1105;Município;Cascais;110 341;2 882 897;2 341 294;26 127;4 918;7 775;8 624;9 585;11 981;15 331;19 932;26 373;30 754;36 470;55 785;4 829;7 667;8 546;9 218;11 352;14 194;18 069;23 190;26 492;30 526;44 275;46,4;4,0;9,2;;;;;;;;;;;
1106;Município;Lisboa;317 490;9 007 890;7 153 880;28 372;4 810;7 700;8 660;9 656;12 259;15 843;20 991;28 115;33 300;40 008;63 283;4 732;7 597;8 568;9 275;11 572;14 572;18 629;24 083;27 772;32 500;48 630;48,1;4,3;10,3;;;;;;;;;;;
1107;Município;Loures;104 778;2 111 910;1 841 155;20 156;5 208;7 924;8 657;9 372;11 215;13 654;16 937;21 625;24 640;28 361;41 760;5 161;7 882;8 622;9 151;10 762;12 900;15 776;19 792;22 263;25 334;35 090;40,6;3,2;6,8;;;;;;;;;;;
1109;Município;Mafra;40 815;894 363;771 247;21 913;5 158;7 830;8 597;9 344;11 400;14 289;18 205;23 800;27 347;31 712;46 650;5 061;7 787;8 537;9 152;10 970;13 505;16 981;21 611;24 516;27 952;39 088;42,4;3,6;7,7;;;;;;;;;;;
1506;Município;Moita;33 028;557 457;504 840;16 878;4 940;7 598;8 400;9 064;10 678;12 620;15 335;18 855;21 362;24 245;33 337;4 907;7 565;8 400;9 032;10 281;11 994;14 394;17 540;19 646;22 069;29 512;36,9;2,9;6,0;;;;;;;;;;;
