Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;;;;;;;;;;;;%;Nº;Nº;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;;;;
1503;Município;Almada;123 861;1 959 586;1 679 775;15 821;4 430;6 611;7 521;8 375;9 825;11 684;14 071;17 307;19 576;22 348;30 984;4 391;6 555;7 417;8 264;9 464;11 108;13 010;15 523;17 187;19 247;25 129;36,2;2,9;5,7;;;;;;;;;;;
1115;Município;Amadora;120 742;1 719 269;1 514 063;14 239;4 390;6 475;7 281;8 077;9 302;10 925;12 899;15 730;17 594;19 982;27 931;4 359;6 416;7 215;7 985;9 152;10 468;12 144;14 358;15 786;17 590;23 176;34,2;2,7;5,3;;;;;;;;;;;
1504;Município;Barreiro;56 351;796 687;705 016;14 138;4 812;6 899;7 736;8 413;9 754;11 301;13 093;15 733;17 466;19 601;26 518;4 776;6 831;7 639;8 371;9 406;10 777;12 300;14 358;15 636;17 252;22 150;32,1;2,5;4,6;;;;;;;;;;;
1105;Município;Cascais;148 932;2 882 897;2 341 294;19 357;4 412;6 750;7 714;8 498;10 345;12 691;15 820;20 351;23 246;26 941;39 107;4 337;6 634;7 566;8 400;9 871;11 859;14 311;17 659;19 804;22 317;30 193;40,9;3,4;7,0;;;;;;;;;;;
1106;Município;Lisboa;406 197;9 007 890;7 153 880;22 176;4 622;7 120;8 129;8 946;11 134;14 000;18 101;23 856;27 549;32 199;46 263;4 540;6 981;7 965;8 785;10 556;12 898;16 036;20 217;22 727;25 810;34 767;42,4;3,7;7,7;;;;;;;;;;;
1107;Município;Loures;142 406;2 111 910;1 841 155;14 830;4 680;6 780;7 583;8 363;9 600;11 230;13 212;16 034;17 908;20 376;28 604;4 630;6 711;7 487;8 259;9 277;10 718;12 379;14 586;16 000;17 841;23 642;34,3;2,7;5,1;;;;;;;;;;;
1109;Município;Mafra;58 115;894 363;771 247;15 390;4 340;6 289;7 200;8 012;9 392;11 232;13 659;16 871;19 059;21 890;30 434;4 308;6 202;7 114;7 882;9 151;10 745;12 733;15 219;16 866;18 926;24 803;36,6;3,1;5,8;;;;;;;;;;;
1506;Município;Moita;44 716;557 457;504 840;12 467;4 430;6 424;7 219;7 935;9 085;10 478;12 021;14 071;15 425;17 125;22 809;4 415;6 364;7 163;7 846;8 948;10 053;11 377;13 077;14 113;15 420;19 587;30,5;2,4;4,4;;;;;;;;;;;
1507;Município;Montijo;37 333;533 288;468 297;14 285;4 227;6 202;7 045;7 839;9 150;10 792;12 938;15 942;17 862;20 461;28 035;4 206;6 161;6 973;7 757;9 040;10 375;12 182;14 514;16 008;17 929;23 317;35,2;2,9;5,5;;;;;;;;;;;
1116;Município;Odivelas;107 521;1 562 553;1 372 336;14 533;4 500;6 600;7 477;8 300;9 602;11 382;13 497;16 347;18 210;20 661;28 183;4 480;6 547;7 387;8 185;9 284;10 850;12 609;14 827;16 227;18 039;23 307;33,7;2,8;5,2;;;;;;;;;;;
1110;Município;Oeiras;123 322;2 636 336;2 143 189;21 378;5 386;8 008;8 931;10 021;12 390;15 372;19 112;24 158;27 281;31 228;42 977;5 297;7 855;8 793;9 626;11 651;14 009;16 832;20 496;22 664;25 257;32 723;37,7;3,2;6,2;;;;;;;;;;;
