year;nationality;gender;permits_granted;resident_count
2015;Samoa;Masculino;0;0
2015;Santa Lúcia;Feminino;0;1
2015;Santa Lúcia;Masculino;0;0
2015;Senegal;Feminino;45;489
2015;Senegal;Masculino;60;1026
2015;Serra Leoa;Feminino;3;24
2015;Serra Leoa;Masculino;2;39
2015;Seychelles;Feminino;0;2
2015;Seychelles;Masculino;0;4
2015;Singapura;Feminino;1;20
2015;Singapura;Masculino;3;8
2015;Somália;Feminino;4;23
2015;Somália;Masculino;3;31
2015;Sri Lanka;Feminino;3;18
2015;Sri Lanka;Masculino;6;42
2015;Sudão;Feminino;5;8
2015;Sudão;Masculino;3;30
2015;Suécia;Feminino;255;853
2015;Suécia;Masculino;388;1136
2015;Suíça;Feminino;96;585
2015;Suíça;Masculino;119;678
2015;São Cristóvão e Nevis;Feminino;5;9
2015;São Cristóvão e Nevis;Masculino;1;6
2015;São Tomé e Príncipe;Feminino;278;5264
2015;São Tomé e Príncipe;Masculino;227;4282
2015;São Vicente e Granadinas;Feminino;0;0
2015;São Vicente e Granadinas;Masculino;0;1
2015;Sérvia;Feminino;11;118
2015;Sérvia;Masculino;8;74
2015;Síria;Feminino;21;66
2015;Síria;Masculino;36;98
2015;Tailândia;Feminino;125;405
2015;Tailândia;Masculino;271;1023
2015;Taiwan;Feminino;2;19
2015;Taiwan;Masculino;3;17
2015;Tajiquistão;Feminino;3;7
2015;Tajiquistão;Masculino;2;8
2015;Tanzânia;Feminino;0;14
2015;Tanzânia;Masculino;3;18
2015;Timor-Leste;Feminino;17;58
2015;Timor-Leste;Masculino;27;111
2015;Togo;Feminino;4;19
2015;Togo;Masculino;1;16
2015;Tonga;Feminino;1;1
2015;Tonga;Masculino;0;0
2015;Trindade e Tobago;Feminino;1;4
2015;Trindade e Tobago;Masculino;0;4
2015;Tunísia;Feminino;9;64
2015;Tunísia;Masculino;14;112
2015;Turquemenistão;Feminino;2;5
2015;Turquemenistão;Masculino;3;7
2015;Turquia;Feminino;20;291
2015;Turquia;Masculino;18;305
2015;Ucrânia;Feminino;632;18343
2015;Ucrânia;Masculino;466;17436
2015;Uganda;Feminino;0;6
2015;Uganda;Masculino;1;12
2015;Uruguai;Feminino;9;61
2015;Uruguai;Masculino;10;61
2015;Uzbequistão;Feminino;28;425
2015;Uzbequistão;Masculino;20;567
2015;Venezuela;Feminino;156;1156
2015;Venezuela;Masculino;85;854
2015;Vietname;Feminino;8;40
2015;Vietname;Masculino;7;37
2015;Zimbabwe;Feminino;5;23
2015;Zimbabwe;Masculino;2;15
2015;Zâmbia;Feminino;0;6
2015;Zâmbia;Masculino;0;1
2015;África do Sul;Feminino;54;358
2015;África do Sul;Masculino;55;277
2015;Áustria;Feminino;61;296
2015;Áustria;Masculino;55;311
