size_band;gender;year;avg_monthly_earnings_eur
20-49 pessoas;masculino;2024;1605.39
20-49 pessoas;feminino;2014;927.7
20-49 pessoas;feminino;2015;933.28
20-49 pessoas;feminino;2016;944.55
20-49 pessoas;feminino;2017;968.85
20-49 pessoas;feminino;2018;1003.1
20-49 pessoas;feminino;2019;1039.51
20-49 pessoas;feminino;2020;1079.59
20-49 pessoas;feminino;2021;1115.39
20-49 pessoas;feminino;2022;1167.98
20-49 pessoas;feminino;2023;1261.73
20-49 pessoas;feminino;2024;1354.4
50-99 pessoas;masculino;2014;1293.32
50-99 pessoas;masculino;2015;1303.08
50-99 pessoas;masculino;2016;1301.04
50-99 pessoas;masculino;2017;1329.25
50-99 pessoas;masculino;2018;1366.92
50-99 pessoas;masculino;2019;1395.04
50-99 pessoas;masculino;2020;1425.24
50-99 pessoas;masculino;2021;1492.3
50-99 pessoas;masculino;2022;1555.02
50-99 pessoas;masculino;2023;1651.18
50-99 pessoas;masculino;2024;1758.3
50-99 pessoas;feminino;2014;971.42
50-99 pessoas;feminino;2015;980.7
50-99 pessoas;feminino;2016;991.86
50-99 pessoas;feminino;2017;1021.55
50-99 pessoas;feminino;2018;1052.87
50-99 pessoas;feminino;2019;1094.16
50-99 pessoas;feminino;2020;1132.58
50-99 pessoas;feminino;2021;1182.58
50-99 pessoas;feminino;2022;1241.83
50-99 pessoas;feminino;2023;1342.32
50-99 pessoas;feminino;2024;1442.83
100-149 pessoas;masculino;2014;1443.92
100-149 pessoas;masculino;2015;1456.57
100-149 pessoas;masculino;2016;1449.96
100-149 pessoas;masculino;2017;1434.15
100-149 pessoas;masculino;2018;1460.24
100-149 pessoas;masculino;2019;1496.81
100-149 pessoas;masculino;2020;1547.2
100-149 pessoas;masculino;2021;1582.43
100-149 pessoas;masculino;2022;1685.08
100-149 pessoas;masculino;2023;1794.97
100-149 pessoas;masculino;2024;1890.8
100-149 pessoas;feminino;2014;1105.21
100-149 pessoas;feminino;2015;1101.69
100-149 pessoas;feminino;2016;1104.73
100-149 pessoas;feminino;2017;1123.85
100-149 pessoas;feminino;2018;1176.61
100-149 pessoas;feminino;2019;1220.45
100-149 pessoas;feminino;2020;1259.83
100-149 pessoas;feminino;2021;1295.37
100-149 pessoas;feminino;2022;1376.76
100-149 pessoas;feminino;2023;1473.22
100-149 pessoas;feminino;2024;1583.73
150-199 pessoas;masculino;2014;1562.2
150-199 pessoas;masculino;2015;1480.07
150-199 pessoas;masculino;2016;1633.41
150-199 pessoas;masculino;2017;1540.65
150-199 pessoas;masculino;2018;1568.29
150-199 pessoas;masculino;2019;1512.26
150-199 pessoas;masculino;2020;1547.83
150-199 pessoas;masculino;2021;1613.43
150-199 pessoas;masculino;2022;1699.9
150-199 pessoas;masculino;2023;1807.63
150-199 pessoas;masculino;2024;1925.98
150-199 pessoas;feminino;2014;1171.04
150-199 pessoas;feminino;2015;1166.45
150-199 pessoas;feminino;2016;1184.08
150-199 pessoas;feminino;2017;1177.04
150-199 pessoas;feminino;2018;1221.09
150-199 pessoas;feminino;2019;1247.28
150-199 pessoas;feminino;2020;1346.5
150-199 pessoas;feminino;2021;1352.44
150-199 pessoas;feminino;2022;1433.72
150-199 pessoas;feminino;2023;1549.07
150-199 pessoas;feminino;2024;1661.78
200-249 pessoas;masculino;2014;1553.64
200-249 pessoas;masculino;2015;1698.44
200-249 pessoas;masculino;2016;1533.37
200-249 pessoas;masculino;2017;1731.77
200-249 pessoas;masculino;2018;1782.54
200-249 pessoas;masculino;2019;1840.75
200-249 pessoas;masculino;2020;1972.17
200-249 pessoas;masculino;2021;1828.16
200-249 pessoas;masculino;2022;1845.51
200-249 pessoas;masculino;2023;1918.11
200-249 pessoas;masculino;2024;1912.5
200-249 pessoas;feminino;2014;1203.65
200-249 pessoas;feminino;2015;1254.48
200-249 pessoas;feminino;2016;1230.13
200-249 pessoas;feminino;2017;1194
200-249 pessoas;feminino;2018;1235.55
200-249 pessoas;feminino;2019;1274.66
200-249 pessoas;feminino;2020;1359.18
200-249 pessoas;feminino;2021;1418.74
200-249 pessoas;feminino;2022;1473.4
200-249 pessoas;feminino;2023;1522.76
200-249 pessoas;feminino;2024;1656.2
250-499 pessoas;masculino;2014;1482.67
