qualification_level;gender;year;avg_monthly_earnings_foreign_eur
Profissionais altam. qualificados;masculino;2017;4487.84
Profissionais altam. qualificados;masculino;2018;3895.94
Profissionais altam. qualificados;masculino;2019;3045.02
Profissionais altam. qualificados;masculino;2020;3238.26
Profissionais altam. qualificados;masculino;2021;2810.91
Profissionais altam. qualificados;masculino;2022;2504.01
Profissionais altam. qualificados;masculino;2023;2600.4
Profissionais altam. qualificados;masculino;2024;2497.88
Profissionais altam. qualificados;feminino;2014;1125.56
Profissionais altam. qualificados;feminino;2015;1120.42
Profissionais altam. qualificados;feminino;2016;1122.33
Profissionais altam. qualificados;feminino;2017;1110.36
Profissionais altam. qualificados;feminino;2018;1118.27
Profissionais altam. qualificados;feminino;2019;1080.31
Profissionais altam. qualificados;feminino;2020;1139.95
Profissionais altam. qualificados;feminino;2021;1153.38
Profissionais altam. qualificados;feminino;2022;1200.81
Profissionais altam. qualificados;feminino;2023;1389.1
Profissionais altam. qualificados;feminino;2024;1480.77
Profissionais qualificados;masculino;2014;847.08
Profissionais qualificados;masculino;2015;856.48
Profissionais qualificados;masculino;2016;853.32
Profissionais qualificados;masculino;2017;854.57
Profissionais qualificados;masculino;2018;886.43
Profissionais qualificados;masculino;2019;929.96
Profissionais qualificados;masculino;2020;965.86
Profissionais qualificados;masculino;2021;1033.98
Profissionais qualificados;masculino;2022;1083.66
Profissionais qualificados;masculino;2023;1163.86
Profissionais qualificados;masculino;2024;1226.06
Profissionais qualificados;feminino;2014;745.64
Profissionais qualificados;feminino;2015;754.98
Profissionais qualificados;feminino;2016;777.1
Profissionais qualificados;feminino;2017;788.56
Profissionais qualificados;feminino;2018;810.51
Profissionais qualificados;feminino;2019;863.51
Profissionais qualificados;feminino;2020;922.83
Profissionais qualificados;feminino;2021;960.58
Profissionais qualificados;feminino;2022;1001
Profissionais qualificados;feminino;2023;1071.19
Profissionais qualificados;feminino;2024;1150.71
Profissionais semi-qualificados;masculino;2014;696.38
Profissionais semi-qualificados;masculino;2015;685.23
Profissionais semi-qualificados;masculino;2016;699.73
Profissionais semi-qualificados;masculino;2017;750.38
Profissionais semi-qualificados;masculino;2018;787.56
Profissionais semi-qualificados;masculino;2019;816.09
Profissionais semi-qualificados;masculino;2020;854.71
Profissionais semi-qualificados;masculino;2021;894.87
Profissionais semi-qualificados;masculino;2022;945.24
Profissionais semi-qualificados;masculino;2023;1018.94
Profissionais semi-qualificados;masculino;2024;1093.6
Profissionais semi-qualificados;feminino;2014;638.86
Profissionais semi-qualificados;feminino;2015;640.91
Profissionais semi-qualificados;feminino;2016;666.29
Profissionais semi-qualificados;feminino;2017;698.54
Profissionais semi-qualificados;feminino;2018;733.01
Profissionais semi-qualificados;feminino;2019;763.99
Profissionais semi-qualificados;feminino;2020;804.83
Profissionais semi-qualificados;feminino;2021;848.4
Profissionais semi-qualificados;feminino;2022;896.94
Profissionais semi-qualificados;feminino;2023;955.79
Profissionais semi-qualificados;feminino;2024;1030.84
Profissionais nao qualificados;masculino;2014;663.69
Profissionais nao qualificados;masculino;2015;666.36
Profissionais nao qualificados;masculino;2016;684.84
Profissionais nao qualificados;masculino;2017;712.8
Profissionais nao qualificados;masculino;2018;736.42
Profissionais nao qualificados;masculino;2019;755.23
Profissionais nao qualificados;masculino;2020;788.4
Profissionais nao qualificados;masculino;2021;839.5
Profissionais nao qualificados;masculino;2022;883.84
Profissionais nao qualificados;masculino;2023;951.59
Profissionais nao qualificados;masculino;2024;1023.89
Profissionais nao qualificados;feminino;2014;598.98
Profissionais nao qualificados;feminino;2015;603.71
Profissionais nao qualificados;feminino;2016;625.15
Profissionais nao qualificados;feminino;2017;658.74
Profissionais nao qualificados;feminino;2018;683.49
Profissionais nao qualificados;feminino;2019;708.84
Profissionais nao qualificados;feminino;2020;747.11
Profissionais nao qualificados;feminino;2021;788.11
Profissionais nao qualificados;feminino;2022;840.07
Profissionais nao qualificados;feminino;2023;901.8
Profissionais nao qualificados;feminino;2024;972.11
Praticantes e aprendizes;masculino;2014;632.63
Praticantes e aprendizes;masculino;2015;632.74
Praticantes e aprendizes;masculino;2016;650.96
Praticantes e aprendizes;masculino;2017;690.13
Praticantes e aprendizes;masculino;2018;724.97
Praticantes e aprendizes;masculino;2019;751.55
Praticantes e aprendizes;masculino;2020;779.81
Praticantes e aprendizes;masculino;2021;813.53
Praticantes e aprendizes;masculino;2022;869.87
Praticantes e aprendizes;masculino;2023;944.39
Praticantes e aprendizes;masculino;2024;1011.47
Praticantes e aprendizes;feminino;2014;615.12
Praticantes e aprendizes;feminino;2015;609.21
Praticantes e aprendizes;feminino;2016;634.72
Praticantes e aprendizes;feminino;2017;667.13
Praticantes e aprendizes;feminino;2018;702.04
Praticantes e aprendizes;feminino;2019;729.61
Praticantes e aprendizes;feminino;2020;752.06
Praticantes e aprendizes;feminino;2021;791.48
Praticantes e aprendizes;feminino;2022;844
Praticantes e aprendizes;feminino;2023;907.13
Praticantes e aprendizes;feminino;2024;977.21
