Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por sujeito passivo (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por sujeito passivo (2021 - 2023);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2023);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2021;2023;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
1317;Município;Vila Nova de Gaia;230 076;3 719 516;3 230 018;16 166;5 074;7 095;8 018;8 910;10 612;12 074;14 068;17 080;19 198;21 974;31 252;101;101;102;102;100;5 033;7 018;7 932;8 792;10 447;11 619;13 234;15 536;17 166;19 221;25 675;35,8;35,1;2,7;5,1;6,7;7,2;5,8;6,3;6,0;7,5;5,9;;;;;;;;
11B;NUTS 3;Alto Tâmega e Barroso;59 604;707 768;641 829;11 875;3 211;5 297;5 838;6 525;7 980;9 637;10 998;12 781;14 133;16 064;23 055;100;100;100;100;100;3 160;5 258;5 795;6 443;7 885;9 449;10 772;12 154;13 255;14 704;20 004;36,9;35,8;2,8;6,3;7,3;7,5;8,0;5,5;7,8;6,7;6,8;;;;;;;;
1702;Município;Boticas;3 475;36 707;34 105;10 563;3 000;5 085;5 577;6 212;7 464;8 932;10 547;11 630;12 591;13 926;19 422;93;96;93;89;84;2 941;5 044;5 545;6 178;7 375;8 840;10 439;11 295;12 028;13 109;17 517;35,2;34,3;2,6;6,0;6,8;8,1;6,1;4,0;6,5;7,6;8,8;;;;;;;;
1703;Município;Chaves;27 143;360 006;321 841;13 263;3 469;5 644;6 385;7 152;8 934;10 640;11 963;14 196;15 904;18 251;26 686;108;109;110;113;116;3 404;5 600;6 308;7 061;8 795;10 444;11 527;13 333;14 632;16 502;22 665;37,3;36,1;2,9;6,7;6,8;8,0;6,0;4,7;7,1;7,6;6,2;;;;;;;;
1706;Município;Montalegre;6 379;69 363;63 320;10 874;2 858;4 818;5 410;5 955;7 274;8 839;10 640;12 094;13 224;14 975;21 179;89;93;92;94;92;2 815;4 732;5 363;5 891;7 165;8 662;10 371;11 557;12 430;13 804;18 429;37,0;35,8;2,9;6,5;7,3;8,1;8,4;5,8;6,5;6,2;7,5;;;;;;;;
1709;Município;Ribeira de Pena;4 065;44 050;40 265;10 836;3 288;5 091;5 557;6 034;7 454;8 913;10 412;11 615;12 490;13 719;19 084;102;95;92;88;83;3 248;5 072;5 533;5 965;7 414;8 827;10 303;11 258;11 925;12 965;17 098;34,5;34,5;2,6;5,3;6,8;6,0;6,8;4,1;7,3;6,8;5,4;;;;;;;;
1712;Município;Valpaços;10 104;102 784;95 216;10 173;2 865;4 797;5 407;5 840;6 987;8 381;10 009;11 483;12 418;13 821;19 196;89;93;87;88;83;2 819;4 779;5 388;5 803;6 908;8 258;9 843;11 096;11 834;12 958;17 201;35,9;34,9;2,7;6,1;8,7;6,0;8,5;6,4;9,2;9,0;8,7;;;;;;;;
1713;Município;Vila Pouca de Aguiar;8 438;94 859;87 082;11 242;3 162;5 288;5 805;6 484;7 814;9 340;10 662;12 301;13 457;15 118;21 428;98;99;97;95;93;3 143;5 244;5 752;6 426;7 740;9 150;10 632;11 774;12 735;14 048;18 933;35,8;34,5;2,7;6,0;7,4;8,8;9,2;6,6;7,6;5,7;6,9;;;;;;;;
11C;NUTS 3;   Tâmega e Sousa;301 891;3 474 676;3 198 630;11 510;3 940;5 665;6 300;6 933;8 436;9 938;10 858;12 300;13 387;14 846;20 682;100;100;100;100;100;3 914;5 650;6 253;6 870;8 346;9 819;10 739;11 822;12 711;13 876;18 223;33,1;32,2;2,5;4,7;7,0;8,5;7,3;6,0;6,9;6,8;7,5;;;;;;;;
1301;Município;Amarante;38 205;453 244;412 688;11 863;3 719;5 486;6 060;6 674;8 170;9 839;10 955;12 574;13 871;15 640;22 394;94;96;99;104;108;3 699;5 471;6 014;6 610;8 066;9 694;10 787;12 014;13 066;14 409;19 532;35,7;34,3;2,6;5,3;8,1;9,3;8,8;6,5;7,5;7,4;7,9;;;;;;;;
