Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
1712;Município;Valpaços;6 712;87 516;81 176;13 039;3 428;5 722;6 404;7 200;8 823;9 781;11 244;13 740;15 817;18 352;25 976;3 394;5 691;6 386;7 135;8 778;9 555;10 920;13 147;14 912;17 275;23 568;38,0;3,0;6,9;;;;;;;;
1713;Município;Vila Pouca de Aguiar;5 589;81 226;74 431;14 533;3 903;6 415;7 291;8 168;9 310;10 261;12 325;15 400;17 387;19 706;28 388;3 853;6 404;7 230;8 105;9 310;9 975;11 848;14 558;16 368;18 578;25 591;38,3;2,9;6,6;;;;;;;;
11C;NUTS 3;   Tâmega e Sousa;200 874;2 928 156;2 696 942;14 577;4 166;6 832;7 891;8 696;9 431;10 579;12 427;15 458;17 596;19 673;27 837;4 158;6 815;7 862;8 662;9 405;10 228;11 964;14 733;16 777;18 732;25 262;37,2;2,7;6,1;;;;;;;;
1301;Município;Amarante;25 501;383 249;348 940;15 029;3 827;6 404;7 562;8 404;9 361;10 479;12 350;15 537;17 920;20 508;30 061;3 790;6 399;7 520;8 359;9 336;10 146;11 908;14 775;16 942;19 203;26 789;39,4;3,0;7,1;;;;;;;;
1302;Município;Baião;7 862;108 938;101 122;13 856;4 202;6 764;7 790;8 589;9 410;10 398;12 213;15 094;16 887;19 078;26 223;4 179;6 739;7 768;8 549;9 389;10 095;11 745;14 337;15 955;18 041;24 043;35,4;2,7;5,8;;;;;;;;
0106;Município;Castelo de Paiva;7 696;109 404;101 870;14 216;4 649;7 120;8 108;8 809;9 653;10 875;12 519;15 318;17 358;19 690;26 782;4 649;7 103;8 074;8 805;9 415;10 459;12 039;14 636;16 547;18 737;24 533;34,9;2,6;5,3;;;;;;;;
0305;Município;Celorico de Basto;7 898;107 440;99 444;13 603;3 853;6 402;7 425;8 255;9 310;10 064;11 657;14 214;16 188;18 484;25 467;3 799;6 371;7 391;8 203;9 310;9 789;11 169;13 638;15 335;17 731;23 348;36,7;2,8;6,1;;;;;;;;
1804;Município;Cinfães;7 969;102 390;95 482;12 848;3 257;5 853;6 730;7 592;8 947;9 758;11 178;13 564;15 229;17 531;24 571;3 238;5 827;6 707;7 556;8 914;9 486;10 829;13 010;14 645;16 719;22 591;37,8;2,9;7,0;;;;;;;;
1303;Município;Felgueiras;29 066;431 217;397 298;14 836;4 930;7 446;8 407;9 086;9 611;10 763;12 598;15 576;17 783;19 779;27 598;4 893;7 401;8 368;9 061;9 415;10 368;12 117;14 903;16 979;18 905;25 034;35,7;2,6;5,1;;;;;;;;
1305;Município;Lousada;24 258;350 159;325 254;14 435;4 413;7 128;8 115;8 888;9 448;10 654;12 637;15 937;17 921;19 669;27 514;4 394;7 114;8 095;8 862;9 415;10 290;12 166;15 074;17 225;18 822;25 123;36,1;2,6;5,7;;;;;;;;
1307;Município;Marco de Canaveses;23 548;331 949;305 853;14 097;3 391;6 232;7 340;8 254;9 310;10 261;12 070;14 924;16 903;19 197;27 459;3 365;6 210;7 303;8 228;9 310;9 952;11 623;14 239;16 070;18 321;24 891;38,6;3,0;7,4;;;;;;;;
1309;Município;Paços de Ferreira;28 177;410 809;380 145;14 580;4 803;7 273;8 247;8 974;9 442;10 661;12 483;15 545;17 656;19 098;26 997;4 756;7 224;8 201;8 944;9 415;10 324;12 023;14 910;17 006;18 604;24 623;35,8;2,6;5,2;;;;;;;;
1311;Município;Penafiel;34 462;533 798;487 188;15 489;4 262;7 006;8 115;8 940;9 663;11 109;13 225;16 582;18 652;21 117;29 878;4 235;6 998;8 094;8 909;9 415;10 724;12 645;15 692;17 816;19 888;26 846;38,1;2,8;6,3;;;;;;;;
1813;Município;Resende;4 437;58 803;54 346;13 253;2 955;5 543;6 448;7 245;8 687;9 483;10 776;13 096;15 096;17 716;26 520;2 935;5 520;6 417;7 214;8 645;9 419;10 499;12 607;14 498;16 999;24 262;40,9;3,1;8,3;;;;;;;;
11D;NUTS 3;   Douro;87 196;1 458 100;1 311 024;16 722;4 407;6 772;7 814;8 688;9 710;11 310;13 784;17 690;20 264;23 430;34 774;4 350;6 759;7 759;8 645;9 437;10 937;13 158;16 700;18 923;21 617;30 079;40,1;3,2;6,9;;;;;;;;
1701;Município;Alijó;5 167;71 191;65 832;13 778;3 917;6 028;6 880;7 744;9 120;10 068;11 832;14 659;16 678;19 294;27 414;3 904;6 028;6 869;7 698;9 091;9 857;11 340;14 145;15 907;18 206;24 917;37,5;3,0;6,4;;;;;;;;
1801;Município;Armamar;2 447;35 583;32 752;14 541;4 244;6 475;7 334;8 108;9 310;10 479;12 269;15 249;17 386;19 985;28 987;4 244;6 460;7 291;8 095;9 310;10 057;11 693;14 603;16 506;18 715;26 026;38,3;2,9;6,1;;;;;;;;
0403;Município;Carrazeda de Ansiães;2 473;36 263;33 373;14 664;4 063;6 472;7 280;8 014;9 302;10 500;12 488;15 468;17 575;20 841;30 137;4 041;6 470;7 269;7 994;9 288;10 182;12 013;14 672;16 855;19 550;26 836;38,3;3,0;6,6;;;;;;;;
0404;Município;Freixo de Espada à Cinta;1 601;23 762;21 948;14 842;5 058;6 833;7 745;8 645;9 629;10 998;12 994;16 325;18 476;20 591;27 679;5 021;6 828;7 711;8 591;9 427;10 603;12 492;15 362;17 379;19 715;25 003;35,5;2,9;5,0;;;;;;;;
1805;Município;Lamego;11 636;202 308;180 315;17 386;4 345;6 916;7 980;8 845;9 799;11 381;13 955;18 413;21 190;24 913;36 971;4 290;6 880;7 913;8 800;9 528;10 989;13 345;17 353;19 714;22 551;31 333;40,9;3,3;7,3;;;;;;;;
1704;Município;Mesão Frio;1 750;24 109;22 244;13 777;4 202;6 143;7 147;7 999;9 288;10 174;11 718;14 184;15 895;18 521;25 596;4 202;6 135;7 120;7 980;9 287;9 896;11 313;13 593;15 225;17 523;23 478;36,9;2,9;5,6;;;;;;;;
1807;Município;Moimenta da Beira;4 031;63 387;57 825;15 725;4 158;6 744;7 842;8 699;9 842;11 352;13 633;17 093;19 280;21 864;31 642;4 158;6 710;7 769;8 663;9 530;10 990;13 108;16 338;18 305;20 583;28 108;38,4;3,1;6,8;;;;;;;;
1707;Município;Murça;2 502;35 753;32 867;14 290;3 897;6 025;6 847;7 711;9 310;10 486;12 155;15 191;17 412;20 296;29 819;3 893;5 995;6 828;7 691;9 310;10 198;11 668;14 383;16 659;18 948;26 414;38,4;3,2;6,8;;;;;;;;
1812;Município;Penedono;1 290;17 613;16 177;13 654;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;
1708;Município;Peso da Régua;7 078;114 036;103 109;16 111;4 562;6 828;7 864;8 645;9 602;11 146;13 480;16 865;19 280;22 392;33 129;4 562;6 772;7 807;8 625;9 415;10 804;12 854;15 838;18 300;20 788;28 864;38,9;3,1;6,3;;;;;;;;
1710;Município;Sabrosa;2 724;39 570;36 744;14 527;4 651;6 774;7 935;8 761;9 590;10 928;12 585;15 334;17 814;19 812;27 298;4 619;6 764;7 865;8 721;9 425;10 585;12 160;14 755;16 607;18 722;24 887;35,9;2,8;5,4;;;;;;;;
1711;Município;Santa Marta de Penaguião;3 187;42 234;39 251;13 252;3 267;5 683;6 240;7 015;8 691;9 721;11 301;14 108;16 221;18 774;26 080;3 256;5 683;6 216;7 004;8 651;9 525;11 024;13 411;15 446;17 988;24 187;39,4;3,2;7,4;;;;;;;;
1815;Município;São João da Pesqueira;3 148;44 326;40 610;14 081;3 897;6 028;6 866;7 533;9 041;10 019;11 956;15 028;16 869;19 312;27 248;3 879;6 028;6 828;7 519;8 990;9 689;11 456;14 221;16 097;18 314;24 802;38,8;3,0;6,4;;;;;;;;
1818;Município;Sernancelhe;2 255;31 904;29 580;14 148;4 804;7 130;7 979;8 610;9 386;10 563;12 414;15 569;17 301;18 847;26 249;4 723;7 120;7 931;8 589;9 365;10 190;11 880;14 664;16 328;18 156;23 919;34,7;2,6;5,1;;;;;;;;
1819;Município;Tabuaço;2 059;29 261;26 979;14 211;4 367;6 460;7 229;7 980;9 310;10 202;12 036;14 979;17 060;19 623;27 837;4 247;6 429;7 167;7 967;9 245;9 974;11 655;14 399;16 099;18 486;25 128;37,2;2,9;5,9;;;;;;;;
1820;Município;Tarouca;3 065;45 738;42 163;14 923;4 331;6 856;7 936;8 751;9 525;10 983;13 075;16 474;18 872;21 262;29 119;4 319;6 827;7 901;8 696;9 415;10 585;12 456;15 639;17 968;19 756;26 253;36,9;2,9;6,1;;;;;;;;
0409;Município;Torre de Moncorvo;3 367;50 761;46 221;15 076;4 236;6 515;7 562;8 438;9 512;10 979;13 200;16 373;18 494;21 093;29 625;4 196;6 495;7 543;8 400;9 415;10 618;12 526;15 351;17 201;19 477;25 996;37,6;3,0;6,2;;;;;;;;
0914;Município;Vila Nova de Foz Côa;3 030;45 695;41 363;15 081;3 741;6 171;7 098;8 065;9 310;10 835;12 987;15 975;18 046;21 320;31 025;3 664;6 133;7 049;8 019;9 310;10 489;12 312;14 987;16 941;19 616;27 445;39,2;3,2;7,5;;;;;;;;
1714;Município;Vila Real;24 386;504 605;441 671;20 692;5 039;7 887;8 924;9 412;11 073;13 492;17 392;22 592;26 016;30 323;44 820;4 979;7 818;8 855;9 370;10 677;12 843;16 325;20 823;23 509;26 767;37 322;41,4;3,4;7,5;;;;;;;;
11E;NUTS 3;   Terras de Trás-os-Montes;51 906;902 503;807 488;17 387;4 426;6 772;7 878;8 800;9 892;11 707;14 462;18 861;21 732;24 851;36 221;4 343;6 744;7 801;8 732;9 600;11 270;13 782;17 736;20 069;22 632;31 451;40,4;3,4;7,2;;;;;;;;
0401;Município;Alfândega da Fé;2 106;31 658;28 885;15 032;4 158;6 404;7 199;8 144;9 342;10 702;12 820;16 073;18 037;20 757;31 424;4 158;6 404;7 133;8 070;9 311;10 317;12 274;15 031;17 005;19 625;27 516;38,4;3,1;6,6;;;;;;;;
0402;Município;Bragança;17 125;346 614;303 694;20 240;4 601;7 461;8 645;9 352;11 154;13 636;17 549;22 774;25 844;29 668;42 938;4 562;7 384;8 557;9 310;10 704;12 923;16 377;20 993;23 168;26 222;35 971;41,2;3,6;7,9;;;;;;;;
0405;Município;Macedo de Cavaleiros;6 686;105 126;95 080;15 723;4 001;6 201;7 112;7 999;9 310;10 511;12 557;16 317;18 901;22 245;32 645;3 948;6 180;7 042;7 980;9 310;10 244;12 014;15 415;17 754;20 446;28 611;40,8;3,3;7,2;;;;;;;;
0406;Município;Miranda do Douro;3 233;54 535;49 282;16 868;4 674;7 093;8 081;9 044;10 190;12 268;15 198;19 205;21 474;23 881;34 119;4 655;7 019;8 006;8 979;9 872;11 704;14 430;18 154;19 842;21 787;29 568;37,9;3,1;6,4;;;;;;;;
0407;Município;Mirandela;10 175;176 990;158 879;17 395;4 460;6 892;7 980;8 898;9 935;11 724;14 461;18 731;21 703;24 911;36 498;4 385;6 839;7 980;8 832;9 667;11 294;13 781;17 760;20 082;22 741;31 884;40,3;3,3;7,3;;;;;;;;
0408;Município;Mogadouro;4 057;64 085;57 957;15 796;4 515;6 646;7 571;8 364;9 443;10 846;12 972;16 871;19 398;22 179;32 407;4 394;6 591;7 519;8 338;9 386;10 486;12 348;15 839;18 255;20 402;27 979;39,2;3,1;6,4;;;;;;;;
0410;Município;Vila Flor;2 706;40 712;37 306;15 045;3 987;6 417;7 384;8 376;9 544;10 866;12 922;15 717;17 906;20 673;30 130;3 973;6 404;7 321;8 320;9 422;10 642;12 426;15 055;17 282;19 275;26 999;38,4;3,0;6,8;;;;;;;;
0411;Município;Vimioso;2 026;29 723;27 204;14 671;4 120;6 404;7 269;8 027;9 310;10 528;12 522;16 025;18 067;20 777;28 277;4 073;6 366;7 245;7 990;9 310;10 242;12 061;14 980;17 170;19 170;25 861;38,0;3,0;6,3;;;;;;;;
