Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por agregado fiscal (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal (2021 - 2023);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2023);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2021;2023;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
0308;Município;Guimarães;85 900;1 694 216;1 523 731;19 723;6 200;9 118;10 140;10 640;12 128;14 358;17 196;21 240;23 253;25 858;36 617;105;103;103;101;101;6 158;9 050;10 080;10 640;11 696;13 690;16 420;20 281;22 211;24 371;32 083;37,3;36,9;2,7;5,2;7,5;6,2;8,8;6,4;4,4;6,3;8,3;;;;;;;;
1705;Município;Mondim de Basto;3 180;48 063;44 619;15 114;4 657;7 092;8 113;8 911;10 540;11 309;13 149;16 596;18 761;21 098;28 986;79;82;81;81;80;4 635;7 037;8 078;8 883;10 457;11 121;12 612;15 584;17 749;19 758;26 005;37,0;36,0;2,8;5,6;7,5;9,1;7,2;6,1;4,6;7,8;7,0;;;;;;;;
0309;Município;Póvoa de Lanhoso;10 901;183 328;169 249;16 818;5 114;8 176;9 214;10 208;11 145;12 700;15 117;18 893;21 253;23 288;31 194;87;93;91;92;86;5 025;8 145;9 156;10 145;10 968;12 206;14 371;17 821;20 119;22 209;28 409;37,0;35,5;2,7;5,7;7,1;5,8;7,5;7,4;5,5;6,8;8,3;;;;;;;;
0311;Município;Vieira do Minho;5 915;94 775;87 392;16 023;4 429;7 045;8 235;9 120;10 640;11 968;14 220;17 776;20 167;22 768;30 322;75;83;85;87;84;4 400;6 998;8 200;9 119;10 640;11 641;13 552;16 803;19 033;21 411;27 439;37,5;37,1;3,1;6,2;6,7;6,1;6,2;9,4;5,0;7,2;6,1;;;;;;;;
0312;Município;Vila Nova de Famalicão;74 383;1 518 107;1 363 748;20 409;6 269;9 196;10 300;10 850;12 617;14 919;18 116;22 395;24 813;27 930;39 574;107;104;107;108;109;6 233;9 120;10 218;10 759;12 038;14 217;17 112;21 271;23 335;25 828;34 487;37,1;37,0;2,8;5,5;7,5;5,6;8,3;5,3;5,3;6,7;8,4;;;;;;;;
0314;Município;Vizela;13 246;242 288;222 601;18 291;6 419;9 223;10 216;10 640;11 841;13 763;16 421;20 505;22 375;24 404;32 588;109;103;98;97;90;6 376;9 173;10 140;10 640;11 468;13 222;15 835;19 598;21 546;23 211;29 518;34,7;34,7;2,5;4,6;8,4;5,8;10,2;7,8;5,2;6,7;8,7;;;;;;;;
11A;NUTS 3;   A. M. Porto;960 609;21 518 450;18 624 931;22 401;5 561;8 773;9 905;10 640;12 430;14 949;18 465;23 319;26 431;30 438;45 477;100;100;100;100;100;5 504;8 694;9 827;10 640;11 910;14 124;17 217;21 637;24 173;27 246;38 017;41,3;40,9;3,1;6,9;6,2;5,2;6,3;4,0;4,7;6,1;6,9;;;;;;;;
0104;Município;Arouca;10 695;189 808;173 247;17 747;5 638;8 311;9 233;10 268;11 326;13 104;15 612;19 670;21 970;24 476;33 112;101;93;88;83;73;5 586;8 249;9 175;10 199;11 125;12 516;14 819;18 457;20 970;23 156;29 839;35,9;36,0;2,8;5,3;6,6;5,8;7,4;7,9;3,4;5,7;9,0;;;;;;;;
0107;Município;Espinho;17 087;372 876;324 974;21 822;5 748;8 917;9 978;10 670;12 429;14 856;17 950;22 779;25 794;29 662;45 143;103;101;99;98;99;5 687;8 846;9 880;10 640;11 889;14 011;16 820;21 232;23 809;26 718;37 346;40,2;39,9;3,0;6,6;6,5;4,8;6,2;4,9;5,4;6,8;7,3;;;;;;;;
1304;Município;Gondomar;88 670;1 804 720;1 607 957;20 353;5 614;8 794;9 917;10 640;12 329;14 663;17 889;22 346;25 070;28 405;40 584;101;100;98;95;89;5 584;8 751;9 852;10 640;11 851;13 899;16 717;20 901;23 189;25 923;35 051;38,5;38,1;3,0;6,3;6,8;5,6;6,7;4,7;5,0;6,8;7,7;;;;;;;;
