Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por agregado fiscal (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal (2021 - 2023);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2023);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2021;2023;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
0616;Município;Tábua;5 794;97 109;89 210;16 760;5 395;7 932;9 028;9 912;10 948;12 405;14 687;18 667;21 060;23 109;31 017;89;88;80;76;67;5 326;7 892;8 981;9 828;10 845;11 995;14 032;17 549;19 818;22 085;28 269;36,0;35,6;2,8;5,3;7,4;5,8;8,4;9,3;4,7;6,5;6,8;;;;;;;;
0617;Município;Vila Nova de Poiares;3 848;67 028;61 497;17 419;5 510;8 311;9 390;10 402;11 543;13 423;15 650;19 689;22 179;24 953;33 807;91;92;86;80;73;5 507;8 217;9 330;10 333;11 284;12 741;14 770;18 366;21 071;23 373;30 355;35,9;35,1;2,8;5,5;6,5;6,5;6,3;5,3;3,4;6,6;8,1;;;;;;;;
193;NUTS 3;   Região de Leiria;159 277;3 348 625;2 973 658;21 024;6 043;9 120;10 224;10 880;12 794;15 253;18 646;23 127;25 996;29 400;41 261;100;100;100;100;100;5 977;9 060;10 137;10 780;12 179;14 355;17 336;21 459;23 929;26 828;35 650;37,5;37,7;3,0;6,0;5,5;4,7;5,2;3,7;4,6;5,8;6,6;;;;;;;;
1002;Município;Alvaiázere;3 176;52 950;48 688;16 672;5 746;8 213;9 043;9 831;10 942;12 586;14 837;18 261;20 486;22 776;32 085;95;88;83;79;78;5 692;8 171;8 992;9 770;10 818;12 105;14 067;17 153;19 253;21 532;28 477;35,4;34,8;2,6;5,0;6,0;7,9;4,2;5,7;4,5;7,7;7,5;;;;;;;;
1003;Município;Ansião;6 056;109 462;99 916;18 075;5 905;8 574;9 444;10 324;11 489;13 411;16 091;20 003;22 532;25 179;34 872;98;92;88;87;85;5 888;8 518;9 378;10 260;11 248;12 876;15 206;18 804;21 086;23 663;31 136;35,6;35,8;2,8;5,3;6,6;5,7;6,3;7,1;3,3;6,9;8,0;;;;;;;;
1004;Município;Batalha;8 576;179 452;160 668;20 925;5 959;9 077;10 149;10 816;12 801;15 296;18 749;23 168;26 124;29 460;41 059;99;99;100;100;100;5 882;9 031;10 055;10 749;12 170;14 481;17 519;21 694;24 192;26 886;35 714;36,5;37,6;3,0;6,1;5,3;4,5;4,3;3,9;3,4;6,3;6,5;;;;;;;;
1007;Município;Castanheira de Pêra;1 472;24 185;22 415;16 430;6 229;8 613;9 419;10 059;10 992;12 350;14 372;17 352;19 464;22 285;30 225;103;92;81;75;73;6 179;8 585;9 369;10 027;10 845;12 016;13 799;16 723;18 508;20 876;27 784;   33;33,9;2,4;4,5;6,9;   6;   8;   7;5,1;5,9;6,2;;;;;;;;
1008;Município;Figueiró dos Vinhos;2 807;47 946;43 809;17 081;5 765;8 159;9 054;9 898;11 063;12 600;15 249;19 174;21 752;24 591;33 469;95;89;83;84;81;5 628;8 131;9 010;9 867;10 921;12 044;14 359;18 108;20 443;22 503;29 147;36,0;35,0;2,8;5,2;5,6;6,5;6,8;6,2;5,2;4,5;8,3;;;;;;;;
1009;Município;Leiria;72 224;1 640 052;1 434 669;22 708;6 187;9 392;10 601;11 255;13 392;16 085;19 827;24 831;27 987;31 866;45 226;102;104;105;108;110;6 097;9 287;10 491;11 057;12 676;15 067;18 340;22 856;25 491;28 466;38 415;38,6;38,7;3,1;6,3;5,3;5,6;5,0;3,6;6,3;5,6;5,8;;;;;;;;
1010;Município;Marinha Grande;23 433;491 155;436 675;20 960;5 772;9 181;10 317;11 114;13 267;15 694;19 012;23 381;26 217;29 688;41 020;96;101;103;101;99;5 737;9 120;10 227;10 966;12 493;14 717;17 597;21 552;23 966;26 916;35 568;36,6;37,1;3,0;6,2;4,4;4,6;4,3;3,0;4,6;4,5;5,5;;;;;;;;
1013;Município;Pedrógão Grande;1 870;31 107;28 460;16 635;5 450;8 108;8 957;9 622;10 769;12 232;14 538;17 988;20 297;22 790;32 081;90;88;80;78;78;5 440;8 008;8 869;9 544;10 693;11 849;13 718;16 922;19 099;21 383;28 614;35,6;35,6;2,7;5,3;5,6;5,3;4,8;6,5;7,0;6,4;7,4;;;;;;;;
1015;Município;Pombal;26 955;522 330;472 617;19 378;5 898;8 952;10 003;10 691;12 354;14 614;17 679;21 888;24 439;27 439;37 458;98;98;96;94;91;5 819;8 865;9 894;10 640;11 851;13 833;16 558;20 407;22 755;25 327;32 906;36,0;36,1;2,9;5,7;5,9;4,0;5,2;5,2;5,2;6,6;7,7;;;;;;;;
1016;Município;Porto de Mós;12 708;249 987;225 741;19 672;6 431;9 120;10 192;10 781;12 466;14 737;17 906;21 888;24 414;27 521;37 645;106;100;97;94;91;6 338;9 118;10 127;10 704;11 901;13 940;16 762;20 405;22 682;25 428;33 165;35,9;35,7;2,8;5,2;6,5;5,0;6,3;5,1;4,5;6,8;6,8;;;;;;;;
194;NUTS 3;   Viseu Dão Lafões;128 048;2 587 238;2 314 064;20 205;5 714;8 742;9 787;10 640;12 095;14 396;17 706;22 292;24 897;28 164;40 061;100;100;100;100;100;5 654;8 682;9 717;10 631;11 709;13 678;16 646;20 946;23 237;25 883;34 614;38,6;38,1;3,0;6,1;6,2;4,9;6,1;3,9;4,1;6,3;7,0;;;;;;;;
0901;Município;Aguiar da Beira;2 391;40 709;37 604;17 026;5 511;8 583;9 462;10 276;11 168;12 846;15 486;18 902;21 192;22 941;31 640;96;97;89;85;79;5 440;8 511;9 375;10 169;11 032;12 334;14 794;17 889;19 920;22 081;28 585;35,6;34,9;2,6;5,3;5,8;4,4;5,1;7,6;6,5;6,6;5,1;;;;;;;;
1802;Município;Carregal do Sal;4 465;81 704;74 609;18 299;5 846;8 962;9 971;10 655;11 879;13 814;16 704;20 841;22 913;25 477;34 886;102;102;96;92;87;5 839;8 931;9 897;10 640;11 551;13 070;15 877;19 375;21 521;23 656;31 108;35,6;35,0;2,6;5,3;6,9;4,5;7,2;6,1;5,2;6,7;8,2;;;;;;;;
1803;Município;Castro Daire;6 397;101 806;94 342;15 915;4 938;7 251;8 391;9 193;10 640;11 902;14 070;17 467;19 710;22 192;30 225;86;86;83;79;75;4 877;7 225;8 351;9 120;10 640;11 638;13 434;16 630;18 843;21 194;27 662;36,2;36,2;2,9;5,7;6,5;5,7;6,2;6,9;4,5;6,8;7,8;;;;;;;;
1806;Município;Mangualde;9 290;180 783;163 566;19 460;6 037;8 905;9 996;10 646;12 219;14 649;18 073;22 197;24 492;27 175;36 628;106;102;102;98;91;5 951;8 834;9 909;10 640;11 819;13 933;16 910;20 914;22 822;25 211;32 497;36,9;36,0;2,9;5,5;5,9;4,8;4,4;1,5;4,2;7,3;7,7;;;;;;;;
1809;Município;Nelas;6 688;129 996;117 749;19 437;6 130;8 813;9 845;10 650;12 096;14 271;17 634;22 225;24 702;27 261;37 485;107;101;99;99;94;6 069;8 780;9 775;10 640;11 701;13 596;16 590;20 925;23 096;25 434;32 933;36,7;36,4;2,9;5,4;5,8;3,0;5,2;4,4;5,5;6,4;7,3;;;;;;;;
1810;Município;Oliveira de Frades;5 136;93 630;85 593;18 230;5 780;8 742;9 786;10 640;11 889;13 926;16 659;20 672;22 830;25 399;34 931;101;100;97;92;87;5 763;8 702;9 731;10 587;11 519;13 175;15 724;19 353;21 470;23 931;31 117;35,5;35,0;2,7;5,4;7,4;4,8;7,5;5,4;5,4;7,3;8,1;;;;;;;;
1811;Município;Penalva do Castelo;3 428;58 972;54 344;17 203;5 284;8 090;9 153;10 077;11 244;13 097;15 864;19 706;21 899;24 185;32 186;92;94;91;88;80;5 277;8 053;9 120;10 030;11 077;12 545;15 111;18 397;20 730;22 874;28 922;35,8;35,4;2,8;5,5;6,3;5,4;6,5;6,6;4,0;6,1;6,3;;;;;;;;
1814;Município;Santa Comba Dão;5 555;102 528;93 152;18 457;5 804;8 559;9 480;10 433;11 666;13 609;16 344;20 403;22 994;25 834;34 855;102;97;95;92;87;5 765;8 532;9 443;10 386;11 380;12 883;15 388;19 231;21 557;23 887;31 047;35,9;36,2;2,8;5,4;5,1;5,5;4,7;5,4;1,5;5,5;7,1;;;;;;;;
1816;Município;São Pedro do Sul;7 649;134 502;122 557;17 584;5 280;8 005;9 087;9 957;11 241;12 833;15 270;19 143;21 536;24 407;33 815;92;93;89;87;84;5 183;7 949;9 041;9 922;11 058;12 263;14 554;18 093;20 326;22 808;29 861;37,9;36,9;2,9;5,8;6,4;6,7;6,9;7,8;3,8;5,9;4,9;;;;;;;;
1817;Município;Sátão;5 396;96 317;87 793;17 850;4 896;7 837;9 048;10 121;11 297;13 273;16 114;20 347;22 391;25 123;33 823;86;92;92;90;84;4 799;7 776;8 971;10 067;11 123;12 670;15 369;18 959;21 267;23 376;30 602;37,9;37,2;3,0;6,4;7,1;5,3;7,7;4,8;6,0;6,4;7,7;;;;;;;;
1821;Município;Tondela;13 215;249 810;227 028;18 903;6 044;8 848;9 806;10 640;12 102;14 240;17 007;21 201;23 499;26 453;35 879;106;100;99;94;90;5 976;8 801;9 757;10 640;11 733;13 494;15 956;19 785;22 195;24 652;31 726;36,2;35,8;2,8;5,3;5,8;4,5;5,9;4,0;3,3;5,7;7,3;;;;;;;;
1822;Município;Vila Nova de Paiva;2 100;36 265;33 083;17 269;4 795;7 724;8 898;9 633;10 988;12 624;15 271;19 401;21 667;24 529;33 730;84;91;88;87;84;4 744;7 556;8 774;9 581;10 839;12 119;14 478;18 264;20 720;22 973;29 940;37,6;37,1;3,0;6,3;6,3;4,9;6,1;7,1;4,8;6,4;6,7;;;;;;;;
1823;Município;Viseu;51 645;1 195 353;1 045 072;23 146;5 856;9 120;10 365;11 011;13 099;15 926;20 157;25 426;28 728;32 954;47 964;102;106;111;115;120;5 787;9 089;10 283;10 882;12 474;15 032;18 811;23 558;26 180;29 227;40 016;40,3;39,9;3,2;6,9;5,6;5,0;5,5;3,4;5,6;5,6;6,2;;;;;;;;
1824;Município;Vouzela;4 693;84 862;77 572;18 083;6 212;8 821;9 715;10 630;11 817;13 585;16 568;20 610;22 969;25 303;33 852;109;99;94;92;84;6 179;8 775;9 671;10 553;11 477;13 017;15 614;19 306;21 727;23 719;30 087;36,1;34,5;2,7;4,9;6,9;5,3;6,8;6,8;4,6;7,0;7,9;;;;;;;;
195;NUTS 3;   Beira Baixa;52 789;1 033 577;928 718;19 579;5 842;8 693;9 672;10 596;11 911;14 058;17 215;21 641;24 205;27 350;38 699;100;100;100;100;100;5 799;8 645;9 606;10 506;11 561;13 335;16 172;20 225;22 540;25 168;33 652;37,7;37,4;2,9;5,8;5,6;4,1;5,4;4,9;4,3;5,8;6,5;;;;;;;;
0502;Município;Castelo Branco;29 094;627 147;556 393;21 556;6 154;9 166;10 260;10 893;12 682;15 284;19 022;23 994;26 964;30 570;43 548;105;106;109;111;113;6 097;9 120;10 188;10 800;12 154;14 409;17 727;22 287;24 736;27 447;37 188;38,4;38,2;3,0;6,1;5,0;4,4;4,8;3,3;4,9;5,2;6,5;;;;;;;;
0505;Município;Idanha-a-Nova;4 401;71 776;65 952;16 309;5 153;7 752;8 848;9 825;10 980;12 367;14 784;18 138;20 441;22 905;30 248;88;91;88;84;78;5 110;7 740;8 834;9 767;10 847;11 957;13 931;16 953;18 932;21 347;27 283;35,6;35,0;2,8;5,3;5,4;3,1;5,0;6,8;3,3;5,8;4,3;;;;;;;;
0506;Município;Oleiros;2 499;42 985;39 342;17 201;5 702;7 909;8 893;9 648;11 033;12 515;14 606;18 319;20 714;23 463;32 956;98;92;89;86;85;5 632;7 867;8 824;9 525;10 877;11 979;14 043;17 320;19 547;22 005;29 785;36,2;36,5;2,8;5,3;6,3;5,6;6,5;6,4;3,8;6,1;8,2;;;;;;;;
0507;Município;Penamacor;2 222;37 041;34 037;16 670;5 709;8 385;9 234;10 173;11 247;12 806;15 064;18 201;20 373;23 032;29 849;98;95;91;84;77;5 689;8 347;9 208;10 131;11 075;12 290;14 323;17 208;19 141;21 651;27 083;34,1;34,1;2,6;4,8;6,0;4,5;6,0;7,5;4,1;6,0;4,9;;;;;;;;
0508;Município;Proença-a-Nova;3 627;65 513;59 620;18 063;6 055;8 529;9 184;10 062;11 310;13 272;16 013;20 272;22 546;25 496;34 949;104;95;94;93;90;5 982;8 471;9 151;10 014;11 117;12 659;15 249;18 822;21 156;23 542;30 825;37,1;35,9;2,8;5,2;6,7;6,9;6,9;7,6;5,2;6,5;5,2;;;;;;;;
0511;Município;Vila Velha de Ródão;1 817;34 098;30 902;18 766;6 461;9 047;9 964;10 670;12 114;14 704;17 748;21 393;23 607;26 418;34 901;111;103;105;98;90;6 461;8 999;9 916;10 640;11 751;13 756;16 494;19 813;21 693;24 337;31 151;34,0;34,1;2,7;4,8;5,7;4,8;6,0;5,5;2,6;5,4;6,2;;;;;;;;
0509;Município;Sertã;7 423;125 743;115 454;16 940;5 390;7 824;8 805;9 702;10 945;12 453;14 902;18 938;21 220;23 770;32 466;92;91;89;88;84;5 310;7 776;8 773;9 640;10 844;11 962;14 241;17 614;20 028;22 366;29 270;36,1;36,2;2,9;5,5;5,8;4,4;5,5;7,4;5,2;6,2;8,1;;;;;;;;
0510;Município;Vila de Rei;1 706;29 273;27 018;17 159;6 112;8 626;9 363;10 445;11 628;13 594;16 274;19 847;21 755;23 623;31 953;105;97;97;90;83;6 103;8 598;9 316;10 369;11 292;13 015;15 477;18 274;20 171;22 185;28 944;34,1;33,4;2,6;4,7;7,2;4,0;5,6;5,3;4,2;8,8;5,8;;;;;;;;
196;NUTS 3;   Beiras e Serra da Estrela;109 635;2 107 378;1 898 677;19 222;5 773;8 625;9 588;10 510;11 771;13 815;16 776;21 125;23 476;26 617;37 961;100;100;100;100;100;5 735;8 579;9 518;10 435;11 460;13 179;15 892;19 748;22 056;24 545;33 028;37,8;37,3;2,9;5,8;6,3;5,1;6,5;5,9;4,3;6,1;7,1;;;;;;;;
0902;Município;Almeida;3 120;57 313;52 173;18 370;5 771;8 608;9 722;10 615;11 930;14 340;17 517;21 470;23 332;25 917;35 107;100;101;104;99;92;5 723;8 575;9 670;10 457;11 587;13 500;16 191;19 875;21 767;23 775;30 586;35,5;35,0;2,8;5,3;6,0;4,3;5,8;6,3;8,0;6,3;6,3;;;;;;;;
0501;Município;Belmonte;3 141;54 937;50 524;17 490;5 992;8 670;9 599;10 443;11 478;13 133;15 808;19 812;21 846;23 975;34 571;104;100;95;93;91;5 956;8 659;9 549;10 401;11 227;12 600;15 031;18 478;20 831;22 771;30 026;35,3;34,5;2,6;5,0;6,0;4,5;5,6;5,9;4,0;6,4;8,8;;;;;;;;
0903;Município;Celorico da Beira;3 198;57 187;52 225;17 882;5 730;8 421;9 284;10 204;11 422;13 171;16 297;20 190;22 127;24 642;33 670;99;97;95;94;89;5 664;8 386;9 233;10 112;11 186;12 622;15 308;18 886;21 087;23 152;30 398;36,5;35,9;2,8;5,4;6,1;5,6;7,6;6,6;3,6;4,5;5,8;;;;;;;;
0503;Município;Covilhã;25 986;514 635;460 054;19 804;6 131;8 873;9 817;10 619;11 927;13 923;16 691;20 979;23 503;26 810;39 119;106;102;101;100;103;6 080;8 841;9 766;10 560;11 558;13 253;15 830;19 594;22 078;24 651;33 921;38,0;37,7;2,8;5,6;6,1;4,7;6,3;6,6;4,3;5,9;6,9;;;;;;;;
0904;Município;Figueira de Castelo Rodrigo;2 624;44 138;40 493;16 821;5 089;7 446;8 386;9 120;10 640;12 166;14 591;18 477;20 940;23 370;33 597;88;87;88;89;89;5 039;7 369;8 335;9 120;10 640;11 868;13 890;17 475;19 655;21 964;29 834;37,7;37,3;3,0;5,9;6,9;7,3;6,6;8,1;4,9;7,2;7,3;;;;;;;;
0905;Município;Fornos de Algodres;2 006;34 220;31 371;17 059;5 575;7 935;9 024;9 890;10 908;12 580;15 329;19 108;21 462;23 420;32 095;97;94;91;91;85;5 546;7 917;8 991;9 856;10 839;12 125;14 530;18 048;20 380;22 278;28 667;35,6;35,8;2,8;5,2;6,9;6,1;8,9;9,1;5,0;4,9;5,8;;;;;;;;
0504;Município;Fundão;14 172;264 910;239 235;18 693;5 375;8 478;9 399;10 403;11 620;13 681;16 618;20 827;23 221;26 440;36 591;93;98;99;99;96;5 326;8 407;9 327;10 340;11 348;13 016;15 654;19 468;21 797;24 296;31 924;36,8;37,0;2,9;6,0;6,5;5,0;7,4;7,1;3,5;5,5;7,0;;;;;;;;
0906;Município;Gouveia;6 097;106 178;97 072;17 415;5 514;8 315;9 187;10 049;11 207;12 898;15 410;19 235;21 636;24 143;33 502;96;96;93;92;88;5 478;8 258;9 125;10 018;11 055;12 382;14 706;18 189;20 511;22 747;29 601;36,4;35,7;2,8;5,4;6,5;6,6;6,1;5,5;4,2;6,9;7,8;;;;;;;;
0907;Município;Guarda;20 671;472 954;416 614;22 880;6 393;9 357;10 537;11 192;13 316;16 393;20 474;25 336;28 714;32 801;46 957;111;110;119;122;124;6 340;9 293;10 471;11 021;12 709;15 364;18 948;23 495;25 942;29 125;39 676;39,4;38,6;3,1;6,3;6,0;5,5;5,6;3,3;6,6;6,4;6,3;;;;;;;;
0908;Município;Manteigas;1 557;27 279;25 069;17 520;6 227;8 786;9 523;10 316;11 545;13 033;15 232;18 594;21 021;23 914;33 934;108;99;94;90;89;6 207;8 693;9 482;10 254;11 272;12 608;14 544;17 617;19 868;22 701;29 700;34,6;34,7;2,6;4,8;8,2;8,2;8,4;11,2;2,8;8,0;7,2;;;;;;;;
0909;Município;Mêda;2 243;36 936;33 818;16 467;4 674;7 326;8 530;9 294;10 711;12 221;14 762;18 357;20 630;22 842;32 379;81;89;88;88;85;4 583;7 203;8 461;9 197;10 640;11 780;14 039;17 093;19 559;21 685;28 315;36,9;36,7;3,0;6,2;5,8;6,2;6,7;8,2;3,3;4,9;4,4;;;;;;;;
0910;Município;Pinhel;4 294;73 086;66 940;17 021;5 303;7 765;8 802;9 655;10 920;12 668;15 153;19 237;21 614;24 036;33 265;92;92;92;92;88;5 293;7 740;8 760;9 540;10 801;12 135;14 291;17 939;20 248;22 500;29 592;36,1;36,0;2,9;5,6;5,8;7,5;4,9;6,9;4,8;6,7;6,2;;;;;;;;
0911;Município;Sabugal;5 213;90 385;82 574;17 338;5 201;8 261;9 240;10 313;11 498;13 303;15 830;19 525;21 717;23 859;33 484;90;96;96;93;88;5 071;8 157;9 152;10 175;11 229;12 609;14 976;18 279;20 242;22 358;29 625;36,8;35,7;2,7;5,8;6,0;6,4;5,3;7,0;6,1;6,8;7,4;;;;;;;;
0912;Município;Seia;11 250;201 163;184 627;17 881;5 994;8 645;9 482;10 341;11 507;13 229;15 721;19 703;22 087;24 917;34 398;104;99;96;94;91;5 933;8 598;9 441;10 282;11 276;12 690;15 006;18 589;21 050;23 411;30 607;36,2;35,5;2,7;5,2;6,5;5,6;7,2;5,9;3,8;5,8;6,8;;;;;;;;
0913;Município;Trancoso;4 063;72 058;65 891;17 735;5 348;8 020;9 060;9 878;11 105;12 859;15 624;19 820;22 091;24 612;33 635;93;94;93;94;89;5 313;7 984;8 992;9 796;10 919;12 330;14 798;18 617;21 209;23 130;30 235;37,6;37,2;2,9;5,7;7,2;7,2;7,2;6,3;4,4;7,3;9,1;;;;;;;;
1D;NUTS 2;Oeste e Vale do Tejo;456 104;9 161 148;8 164 920;20 086;5 477;8 580;9 593;10 551;12 010;14 290;17 460;21 912;24 685;28 194;40 332;;;;;;5 440;8 536;9 519;10 465;11 607;13 527;16 369;20 398;22 864;25 737;34 796;38,3;38,5;3,0;6,4;5,5;4,2;5,4;4,2;3,3;5,5;6,3;;;;;;;;
1D1;NUTS 3;Oeste;206 671;4 177 674;3 710 843;20 214;5 384;8 456;9 499;10 488;11 890;14 156;17 376;21 924;24 714;28 280;40 749;100;100;100;100;100;5 327;8 391;9 411;10 404;11 507;13 400;16 287;20 390;22 885;25 794;35 061;38,9;39,1;3,1;6,6;5,5;4,5;5,6;4,5;3,1;5,4;6,5;;;;;;;;
1001;Município;Alcobaça;30 834;595 691;537 272;19 319;5 713;8 755;9 750;10 621;12 056;14 226;17 225;21 368;23 855;26 966;37 475;106;103;101;97;92;5 670;8 685;9 672;10 551;11 648;13 475;16 234;19 984;22 280;24 883;32 906;36,5;36,9;2,9;5,8;6,1;5,3;6,9;5,6;2,3;5,4;6,8;;;;;;;;
1101;Município;Alenquer;24 937;522 484;464 920;20 952;5 860;9 039;10 090;10 824;12 755;15 248;18 725;23 164;26 019;29 714;41 803;109;106;108;105;103;5 826;8 965;10 030;10 749;12 135;14 315;17 418;21 513;23 968;26 958;36 105;37,6;37,8;3,0;6,2;5,5;4,0;4,8;3,0;4,6;6,2;7,3;;;;;;;;
1102;Município;Arruda dos Vinhos;7 755;199 268;170 829;25 695;6 447;9 574;10 640;11 478;13 957;17 011;21 262;26 980;30 995;36 142;53 273;120;112;120;125;131;6 371;9 503;10 640;11 200;13 138;15 819;19 553;24 732;27 785;31 696;44 435;40,7;41,4;3,3;7,0;5,5;5,3;6,1;5,2;7,7;4,8;5,9;;;;;;;;
1005;Município;Bombarral;7 049;134 108;119 934;19 025;5 050;7 864;8 989;10 018;11 429;13 484;16 209;20 650;23 427;26 626;38 075;94;95;95;95;93;5 014;7 803;8 946;9 966;11 141;12 775;15 331;19 168;21 582;24 405;33 126;38,4;38,9;3,1;6,6;5,9;4,4;6,2;6,5;3,8;5,7;6,2;;;;;;;;
1104;Município;Cadaval;7 209;136 469;122 814;18 930;5 485;8 386;9 237;10 230;11 474;13 747;16 725;21 087;23 535;26 721;37 341;102;97;97;95;92;5 442;8 305;9 192;10 170;11 254;13 046;15 725;19 484;21 933;24 536;32 606;38,0;37,4;3,0;6,0;6,0;5,3;6,5;5,7;4,8;5,4;6,7;;;;;;;;
1006;Município;Caldas da Rainha;29 859;597 832;528 792;20 022;4 900;8 074;9 161;10 220;11 656;13 880;16 846;21 390;24 338;28 019;40 860;91;96;98;98;100;4 836;7 974;9 120;10 134;11 369;13 152;15 833;19 842;22 355;25 477;34 880;40,3;40,1;3,2;7,2;5,4;5,6;5,3;4,3;3,4;5,6;5,8;;;;;;;;
1108;Município;Lourinhã;14 728;288 446;256 622;19 585;5 193;8 169;9 130;10 184;11 561;13 695;16 817;21 230;24 046;27 509;39 617;96;96;97;97;97;5 154;8 105;9 120;10 097;11 255;12 973;15 806;19 760;22 156;25 140;34 255;39,1;39,2;3,1;6,6;5,8;4,7;5,3;5,3;5,1;6,3;5,7;;;;;;;;
1011;Município;Nazaré;8 534;158 104;141 925;18 526;4 938;7 757;9 018;10 043;11 354;13 433;16 207;20 234;22 893;25 894;36 719;92;95;95;93;90;4 889;7 665;8 867;9 938;11 156;12 712;15 191;19 092;21 348;24 027;32 022;38,2;38,4;3,1;6,5;4,9;4,4;5,3;5,5;3,8;4,6;7,3;;;;;;;;
1012;Município;Óbidos;6 767;138 193;122 268;20 422;5 441;8 357;9 412;10 366;11 680;14 007;17 183;21 906;24 673;28 353;41 238;101;99;99;100;101;5 434;8 282;9 292;10 283;11 390;13 169;16 107;20 407;22 831;25 644;35 526;39,9;39,9;3,1;6,5;5,5;5,2;6,7;6,2;4,9;4,3;6,4;;;;;;;;
1014;Município;Peniche;14 855;285 524;256 149;19 221;5 192;8 285;9 316;10 346;11 614;13 754;16 790;21 390;23 991;27 428;38 500;96;98;97;97;94;5 158;8 231;9 255;10 245;11 327;13 025;15 864;19 912;22 331;24 976;33 538;38,1;38,2;3,0;6,5;5,0;4,5;5,4;5,0;3,0;4,6;6,9;;;;;;;;
1112;Município;Sobral de Monte Agraço;5 855;123 620;109 180;21 114;5 320;8 487;9 562;10 564;11 999;14 490;18 179;22 990;25 906;30 076;43 941;99;101;102;105;108;5 298;8 402;9 450;10 475;11 627;13 659;16 922;21 381;23 938;27 107;37 114;39,2;40,1;3,2;7,0;4,3;2,9;3,4;3,7;1,4;5,1;5,7;;;;;;;;
1113;Município;Torres Vedras;48 289;997 934;880 137;20 666;5 326;8 360;9 424;10 412;11 653;13 914;17 298;22 100;25 100;28 887;42 168;99;99;98;102;103;5 300;8 272;9 322;10 313;11 338;13 187;16 202;20 584;23 171;26 218;36 041;39,8;40,2;3,2;6,8;5,1;3,9;5,1;3,3;2,2;5,0;6,2;;;;;;;;
1D2;NUTS 3;   Médio Tejo;115 296;2 306 678;2 066 398;20 007;5 912;8 883;9 889;10 640;12 262;14 540;17 716;22 114;24 787;28 188;39 989;100;100;100;100;100;5 866;8 825;9 826;10 640;11 785;13 754;16 608;20 600;22 989;25 755;34 570;37,4;37,3;2,9;5,9;5,7;4,8;5,3;4,3;4,2;6,2;6,5;;;;;;;;
1401;Município;Abrantes;18 588;368 046;329 709;19 800;6 212;8 915;9 829;10 640;12 171;14 260;17 095;21 396;24 334;27 543;39 268;105;99;98;98;98;6 179;8 869;9 774;10 615;11 735;13 524;16 149;19 888;22 473;25 319;33 894;37,4;37,1;2,9;5,5;5,6;5,2;5,3;3,1;4,1;5,9;6,3;;;;;;;;
1402;Município;Alcanena;7 141;126 966;115 969;17 780;5 866;8 702;9 604;10 478;11 751;13 553;15 997;19 616;21 854;24 287;33 388;99;97;93;88;83;5 837;8 660;9 548;10 424;11 375;12 909;15 257;18 561;20 544;22 901;29 665;35,6;34,9;2,6;5,1;6,7;4,5;6,4;6,3;4,5;7,1;5,9;;;;;;;;
1408;Município;Constância;2 038;42 932;38 660;21 066;6 789;9 678;10 640;11 212;13 270;15 892;19 594;24 143;26 639;30 052;42 388;115;108;109;107;106;6 785;9 660;10 589;11 045;12 574;15 162;18 267;22 402;24 428;27 309;36 724;35,7;35,6;2,8;5,4;7,0;6,0;6,4;3,0;6,6;7,7;6,4;;;;;;;;
1410;Município;Entroncamento;11 006;255 501;223 949;23 215;5 614;9 195;10 518;11 260;13 691;16 990;21 257;26 761;30 143;34 654;48 051;95;106;117;122;120;5 584;9 143;10 440;11 060;12 899;15 865;19 605;24 276;26 886;30 068;40 541;38,2;39,0;3,3;7,3;3,1;4,8;2,5;2,7;5,8;3,7;3,7;;;;;;;;
1411;Município;Ferreira do Zêzere;4 121;70 816;65 315;17 184;5 568;8 291;9 151;10 084;11 497;13 361;15 885;19 491;21 482;24 074;31 740;94;93;92;87;79;5 542;8 270;9 120;10 015;11 268;12 788;15 068;18 385;20 454;22 632;28 776;34,4;34,6;2,7;5,2;6,9;5,6;7,2;8,1;3,3;6,7;5,7;;;;;;;;
1413;Município;Mação;3 398;60 408;55 158;17 778;6 179;8 860;9 690;10 502;11 545;13 364;15 911;19 599;22 024;24 683;34 325;105;98;92;89;86;6 096;8 827;9 653;10 392;11 275;12 720;15 038;18 451;20 908;22 959;30 139;35,0;34,4;2,6;4,9;6,7;4,2;7,7;5,2;4,8;5,7;8,8;;;;;;;;
