size_band;gender;year;avg_monthly_wage_eur
20-49 pessoas;feminino;2015;809.18
20-49 pessoas;feminino;2016;819.84
20-49 pessoas;feminino;2017;837.14
20-49 pessoas;feminino;2018;865.33
20-49 pessoas;feminino;2019;894.09
20-49 pessoas;feminino;2020;930.69
20-49 pessoas;feminino;2021;964.76
20-49 pessoas;feminino;2022;1009.12
20-49 pessoas;feminino;2023;1084.4
20-49 pessoas;feminino;2024;1155.65
50-99 pessoas;masculino;2014;1060.06
50-99 pessoas;masculino;2015;1064.98
50-99 pessoas;masculino;2016;1062.98
50-99 pessoas;masculino;2017;1080.41
50-99 pessoas;masculino;2018;1106.89
50-99 pessoas;masculino;2019;1136.51
50-99 pessoas;masculino;2020;1173.38
50-99 pessoas;masculino;2021;1231.87
50-99 pessoas;masculino;2022;1276.74
50-99 pessoas;masculino;2023;1348.73
50-99 pessoas;masculino;2024;1432.91
50-99 pessoas;feminino;2014;831.36
50-99 pessoas;feminino;2015;838.95
50-99 pessoas;feminino;2016;850.09
50-99 pessoas;feminino;2017;873.11
50-99 pessoas;feminino;2018;896.68
50-99 pessoas;feminino;2019;930.59
50-99 pessoas;feminino;2020;968.45
50-99 pessoas;feminino;2021;1012.22
50-99 pessoas;feminino;2022;1060.06
50-99 pessoas;feminino;2023;1139.9
50-99 pessoas;feminino;2024;1218.57
100-149 pessoas;masculino;2014;1163.11
100-149 pessoas;masculino;2015;1167.39
100-149 pessoas;masculino;2016;1179.16
100-149 pessoas;masculino;2017;1137.29
100-149 pessoas;masculino;2018;1162.06
100-149 pessoas;masculino;2019;1203.04
100-149 pessoas;masculino;2020;1233.14
100-149 pessoas;masculino;2021;1275.34
100-149 pessoas;masculino;2022;1365.35
100-149 pessoas;masculino;2023;1452.46
100-149 pessoas;masculino;2024;1528.26
100-149 pessoas;feminino;2014;938.07
100-149 pessoas;feminino;2015;937.35
100-149 pessoas;feminino;2016;947.41
100-149 pessoas;feminino;2017;955.36
100-149 pessoas;feminino;2018;996.1
100-149 pessoas;feminino;2019;1039.75
100-149 pessoas;feminino;2020;1066.71
100-149 pessoas;feminino;2021;1102.06
100-149 pessoas;feminino;2022;1178.24
100-149 pessoas;feminino;2023;1249.79
100-149 pessoas;feminino;2024;1337.23
150-199 pessoas;masculino;2014;1269.47
150-199 pessoas;masculino;2015;1202.91
150-199 pessoas;masculino;2016;1320.46
150-199 pessoas;masculino;2017;1263.27
150-199 pessoas;masculino;2018;1272.71
150-199 pessoas;masculino;2019;1200
150-199 pessoas;masculino;2020;1252.37
150-199 pessoas;masculino;2021;1287.61
150-199 pessoas;masculino;2022;1367.03
150-199 pessoas;masculino;2023;1465.63
150-199 pessoas;masculino;2024;1541.31
150-199 pessoas;feminino;2014;988.94
150-199 pessoas;feminino;2015;980.29
150-199 pessoas;feminino;2016;992.04
150-199 pessoas;feminino;2017;993.43
150-199 pessoas;feminino;2018;1030.51
150-199 pessoas;feminino;2019;1043.67
150-199 pessoas;feminino;2020;1135.66
150-199 pessoas;feminino;2021;1141.72
150-199 pessoas;feminino;2022;1207.15
150-199 pessoas;feminino;2023;1307.88
150-199 pessoas;feminino;2024;1396.05
200-249 pessoas;masculino;2014;1221.75
200-249 pessoas;masculino;2015;1374.84
200-249 pessoas;masculino;2016;1219.85
200-249 pessoas;masculino;2017;1410.31
200-249 pessoas;masculino;2018;1442.88
200-249 pessoas;masculino;2019;1542.57
200-249 pessoas;masculino;2020;1617.74
200-249 pessoas;masculino;2021;1495.84
200-249 pessoas;masculino;2022;1497.44
200-249 pessoas;masculino;2023;1531.7
200-249 pessoas;masculino;2024;1526.34
200-249 pessoas;feminino;2014;999.46
200-249 pessoas;feminino;2015;1047.96
200-249 pessoas;feminino;2016;1027.58
200-249 pessoas;feminino;2017;997.44
200-249 pessoas;feminino;2018;1030.94
200-249 pessoas;feminino;2019;1077.26
200-249 pessoas;feminino;2020;1128.6
200-249 pessoas;feminino;2021;1191.15
200-249 pessoas;feminino;2022;1234.11
200-249 pessoas;feminino;2023;1272.61
200-249 pessoas;feminino;2024;1380.85
250-499 pessoas;masculino;2014;1181.64
250-499 pessoas;masculino;2015;1193.47
250-499 pessoas;masculino;2016;1223.47
250-499 pessoas;masculino;2017;1248.28
250-499 pessoas;masculino;2018;1247.98
250-499 pessoas;masculino;2019;1263.12
250-499 pessoas;masculino;2020;1329.87
250-499 pessoas;masculino;2021;1416.71
250-499 pessoas;masculino;2022;1473.34
250-499 pessoas;masculino;2023;1596.8
250-499 pessoas;masculino;2024;1734.07
250-499 pessoas;feminino;2014;998.27
250-499 pessoas;feminino;2015;994.81
250-499 pessoas;feminino;2016;1041.36
250-499 pessoas;feminino;2017;1089.52
250-499 pessoas;feminino;2018;1107.15
250-499 pessoas;feminino;2019;1107.43
250-499 pessoas;feminino;2020;1157.77
250-499 pessoas;feminino;2021;1192.02
250-499 pessoas;feminino;2022;1241.33
250-499 pessoas;feminino;2023;1350.62
