qualification_level;gender;year;avg_monthly_wage_foreign_eur
Profissionais qualificados;masculino;2018;727.69
Profissionais qualificados;masculino;2019;764.3
Profissionais qualificados;masculino;2020;797.7
Profissionais qualificados;masculino;2021;846.92
Profissionais qualificados;masculino;2022;883.56
Profissionais qualificados;masculino;2023;938.62
Profissionais qualificados;masculino;2024;991.02
Profissionais qualificados;feminino;2014;644.87
Profissionais qualificados;feminino;2015;652.25
Profissionais qualificados;feminino;2016;669
Profissionais qualificados;feminino;2017;675.76
Profissionais qualificados;feminino;2018;695.71
Profissionais qualificados;feminino;2019;741.16
Profissionais qualificados;feminino;2020;787.01
Profissionais qualificados;feminino;2021;819.86
Profissionais qualificados;feminino;2022;853.54
Profissionais qualificados;feminino;2023;909.7
Profissionais qualificados;feminino;2024;973.58
Profissionais semi-qualificados;masculino;2014;580.44
Profissionais semi-qualificados;masculino;2015;580.09
Profissionais semi-qualificados;masculino;2016;592.91
Profissionais semi-qualificados;masculino;2017;628.92
Profissionais semi-qualificados;masculino;2018;647.77
Profissionais semi-qualificados;masculino;2019;679.58
Profissionais semi-qualificados;masculino;2020;710.3
Profissionais semi-qualificados;masculino;2021;742.9
Profissionais semi-qualificados;masculino;2022;787.75
Profissionais semi-qualificados;masculino;2023;830.02
Profissionais semi-qualificados;masculino;2024;891.09
Profissionais semi-qualificados;feminino;2014;552.42
Profissionais semi-qualificados;feminino;2015;559.55
Profissionais semi-qualificados;feminino;2016;577.32
Profissionais semi-qualificados;feminino;2017;607.07
Profissionais semi-qualificados;feminino;2018;627.76
Profissionais semi-qualificados;feminino;2019;655.21
Profissionais semi-qualificados;feminino;2020;684.63
Profissionais semi-qualificados;feminino;2021;720.78
Profissionais semi-qualificados;feminino;2022;762.22
Profissionais semi-qualificados;feminino;2023;803.54
Profissionais semi-qualificados;feminino;2024;865.85
Profissionais nao qualificados;masculino;2014;561.22
Profissionais nao qualificados;masculino;2015;559.02
Profissionais nao qualificados;masculino;2016;576.98
Profissionais nao qualificados;masculino;2017;600.22
Profissionais nao qualificados;masculino;2018;621.21
Profissionais nao qualificados;masculino;2019;630.5
Profissionais nao qualificados;masculino;2020;663.73
Profissionais nao qualificados;masculino;2021;697.69
Profissionais nao qualificados;masculino;2022;734.83
Profissionais nao qualificados;masculino;2023;790.93
Profissionais nao qualificados;masculino;2024;849.19
Profissionais nao qualificados;feminino;2014;527.4
Profissionais nao qualificados;feminino;2015;530.39
Profissionais nao qualificados;feminino;2016;552.73
Profissionais nao qualificados;feminino;2017;579.56
Profissionais nao qualificados;feminino;2018;601.16
Profissionais nao qualificados;feminino;2019;616.35
Profissionais nao qualificados;feminino;2020;646.04
Profissionais nao qualificados;feminino;2021;678.55
Profissionais nao qualificados;feminino;2022;719.04
Profissionais nao qualificados;feminino;2023;777.44
Profissionais nao qualificados;feminino;2024;835.52
Praticantes e aprendizes;masculino;2014;544.11
Praticantes e aprendizes;masculino;2015;547.66
Praticantes e aprendizes;masculino;2016;564.15
Praticantes e aprendizes;masculino;2017;590.71
Praticantes e aprendizes;masculino;2018;615.15
Praticantes e aprendizes;masculino;2019;635.36
Praticantes e aprendizes;masculino;2020;666.93
Praticantes e aprendizes;masculino;2021;694.69
Praticantes e aprendizes;masculino;2022;740.08
Praticantes e aprendizes;masculino;2023;793.79
Praticantes e aprendizes;masculino;2024;852.66
Praticantes e aprendizes;feminino;2014;536.73
Praticantes e aprendizes;feminino;2015;535.46
Praticantes e aprendizes;feminino;2016;560.89
Praticantes e aprendizes;feminino;2017;586.51
Praticantes e aprendizes;feminino;2018;606.31
Praticantes e aprendizes;feminino;2019;626.95
Praticantes e aprendizes;feminino;2020;653.89
Praticantes e aprendizes;feminino;2021;688.88
Praticantes e aprendizes;feminino;2022;731.65
Praticantes e aprendizes;feminino;2023;786.82
Praticantes e aprendizes;feminino;2024;846.31
