year;country;cae_code;cae_description_pt;sector_description_en;foreign_workers_all_q9e;foreign_tco_q13e;total_employment_thousand_lfs;foreign_tco_pct_lfs;lfs_data_flag;gva_million_eur;gva_total_pt_million_eur;gva_share_pct;vab_data_flag;cae_nace_level;source_id;dataset_id;source_name;notes
2016;PT;I;Alojamento, restauracao e sim.;Accommodation and food service activities;26994;25658;281.1;9.13;;8739.5;161745.1;5.4;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2016;PT;J;Ativ. Inform. e de comunicacao;Information and communication;2350;2105;111.8;1.88;;5660.3;161745.1;3.5;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2016;PT;K;Ativ. financeiras e de seguros;Financial and insurance activities;1048;995;113.6;0.88;;8084.5;161745.1;5.0;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2016;PT;L;Atividades imobiliarias;Real estate activities;1618;1316;33.2;3.96;;20173.9;161745.1;12.47;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2016;PT;M;Ativ. consultoria, cient.,tec. e sim.;Professional, scientific and technical activities;3496;3113;203.0;1.53;;6028.4;161745.1;3.73;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2016;PT;N;Ativ. Adm. e servicos de apoio;Administrative and support service activities;27492;27232;155.6;17.5;;5918.8;161745.1;3.66;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2016;PT;O;"Adm. Pub. e defesa; seg. social";"Public administration and defence; compulsory social security";109;109;289.1;0.04;;11758.4;161745.1;7.27;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2016;PT;P;Educacao;Education;1877;1789;381.2;0.47;;9405.6;161745.1;5.82;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2016;PT;Q;Ativ. saude humana e apoio social;Human health and social work activities;6806;6360;424.3;1.5;;10227.8;161745.1;6.32;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2016;PT;R;Ativ. artist., espet., desp. e recr.;Arts, entertainment and recreation;1556;1447;60.9;2.38;;1296.7;161745.1;0.8;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2016;PT;S;Outras atividades de servicos;Other service activities;3180;2906;109.2;2.66;;2200.4;161745.1;1.36;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2016;PT;U;Ativ. org. int. e o. inst. extra-territ.;Activities of extraterritorial organisations and bodies;15;13;;;;0.0;161745.1;0.0;;section;F010;D074 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat nama_10_a64 (VAB);
2017;PT;A;Agr., pr. animal, caca, flor. pesca;Agriculture, forestry and fishing;10109;9922;309.6;3.2;;3839.2;169071.4;2.27;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2017;PT;B;Industrias extrativas;Mining and quarrying;234;232;12.1;1.92;;603.9;169071.4;0.36;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
2017;PT;C;Industrias transformadoras;Manufacturing;13906;13478;801.3;1.68;;24303.6;169071.4;14.37;;section;F010 / F012;D074 / D079 / D115;GEP/MTSSS — Quadros de Pessoal (Q9_E, Q13_E) + Eurostat LFS (lfsa_egan2) + Eurostat nama_10_a64 (VAB);
