year;district;employees_count;self_employed_count;employee_contribution_amount;self_employed_contribution_amount;remuneration_amount;employers_count;total_workers;total_contribution_amount;source_id;source
2011;Setúbal;310358;36986;1252232211.26;46389748.16;3795015395.05;26161;347344;1298621959.42;F014;Segurança Social
2011;Viana do Castelo;71374;14186;209278692.6;19439191.68;648224320.61;9996;85560;228717884.28;F014;Segurança Social
2011;Vila Real;50214;11535;136592231.59;15127934.25;431645809.65;7592;61749;151720165.84;F014;Segurança Social
2011;Viseu;109411;20096;320310540.07;24686146.88;991473974.4;14039;129507;344996686.95;F014;Segurança Social
2011;Évora;55200;8810;168318956.27;12089299.78;527874096.58;7196;64010;180408256.05;F014;Segurança Social
2012;Aveiro;256934;31679;877540858.16;43767834.87;2666327316.66;26921;288613;921308693.03;F014;Segurança Social
2012;Beja;46288;7896;132785818.26;11944094.72;407649480.92;5841;54184;144729912.98;F014;Segurança Social
2012;Braga;297771;33891;899282482.95;46114941.94;2744457601.49;35025;331662;945397424.89;F014;Segurança Social
2012;Bragança;29952;8217;81266775.77;10926520.25;254396603.04;4957;38169;92193296.02;F014;Segurança Social
2012;Castelo Branco;55109;9127;161269680.46;12813222.4;499466377.2;6836;64236;174082902.86;F014;Segurança Social
2012;Coimbra;131412;20702;457709654.62;27588689.03;1409724377.86;14255;152114;485298343.65;F014;Segurança Social
2012;Faro;163235;24814;480357520.15;35744973.52;1462690007.14;22616;188049;516102493.67;F014;Segurança Social
2012;Guarda;40444;8568;115634192.94;11900747.19;359556419.42;5871;49012;127534940.13;F014;Segurança Social
2012;Leiria;162934;21611;538773157.32;32974745.74;1647526523.15;21117;184545;571747903.06;F014;Segurança Social
2012;Lisboa;825010;100054;3823863599.06;126498857.84;11670000295.82;99877;925064;3950362456.9;F014;Segurança Social
2012;Outro;4051;639;17165916.35;785991.11;52964414.93;515;4690;17951907.46;F014;Segurança Social
2012;Portalegre;32691;5340;92637799.6;7630401.27;287447889.6;4375;38031;100268200.87;F014;Segurança Social
2012;Porto;624176;69259;2224646552.78;93046686.46;6795901208.47;71840;693435;2317693239.24;F014;Segurança Social
2012;Região Autónoma da Madeira;77945;9894;261766629.8;9377489.0;801435561.75;9371;87839;271144118.8;F014;Segurança Social
2012;Região Autónoma dos Açores;71812;17695;233427589.5;15808931.32;714544881.66;7780;89507;249236520.82;F014;Segurança Social
2012;Santarém;146951;18378;473697466.7;26031433.68;1443828655.14;17056;165329;499728900.38;F014;Segurança Social
2012;Setúbal;291360;32630;1172139639.39;42605984.2;3542636947.26;25203;323990;1214745623.59;F014;Segurança Social
2012;Viana do Castelo;68685;13101;200928147.0;17606718.16;617942336.62;9868;81786;218534865.16;F014;Segurança Social
2012;Vila Real;47597;10685;128184321.0;13574658.9;401527596.59;7372;58282;141758979.9;F014;Segurança Social
2012;Viseu;104221;18487;302346879.56;22590120.98;930530339.83;13622;122708;324937000.54;F014;Segurança Social
2012;Évora;52596;8195;158445211.77;11009182.91;491879866.08;6909;60791;169454394.68;F014;Segurança Social
2013;Aveiro;251193;29917;884780868.04;39764035.34;2637147913.51;26454;281110;924544903.38;F014;Segurança Social
2013;Beja;46072;7480;135606797.86;11138073.9;408760759.14;5875;53552;146744871.76;F014;Segurança Social
2013;Braga;292075;32393;911566697.32;43001878.49;2726915567.05;34762;324468;954568575.81;F014;Segurança Social
2013;Bragança;29193;8675;81926467.96;11006692.84;250424999.24;4840;37868;92933160.8;F014;Segurança Social
2013;Castelo Branco;53269;8521;161072424.84;11716736.26;487547017.92;6767;61790;172789161.1;F014;Segurança Social
2013;Coimbra;127405;19484;459274160.83;25043339.1;1385843526.08;13982;146889;484317499.93;F014;Segurança Social
2013;Faro;158742;23010;479248687.77;32457877.94;1429618304.3;22028;181752;511706565.71;F014;Segurança Social
2013;Guarda;39764;8321;116872774.42;11467875.56;354178903.29;5820;48085;128340649.98;F014;Segurança Social
2013;Leiria;158035;19971;539727513.69;29053054.43;1613385514.03;20642;178006;568780568.12;F014;Segurança Social
2013;Lisboa;794833;92281;3802460143.95;111632495.5;11405897200.92;96928;887114;3914092639.45;F014;Segurança Social
2013;Outro;4949;734;23630825.72;974967.61;70658504.74;524;5683;24605793.33;F014;Segurança Social
2013;Portalegre;32632;4965;94230353.52;7070373.78;285466890.75;4317;37597;101300727.3;F014;Segurança Social
