year;district;employees_count;self_employed_count;employee_contribution_amount;self_employed_contribution_amount;remuneration_amount;employers_count;total_workers;total_contribution_amount;source_id;source
2021;Outro;16294;2550;76494085.34;3988201.95;232813652.42;1187;18844;80482287.29;F014;Segurança Social
2021;Portalegre;37062;5140;140504602.2;5675885.55;417868555.47;4392;42202;146180487.75;F014;Segurança Social
2021;Porto;750502;84811;3451669040.18;81356626.03;10242082034.62;79226;835313;3533025666.21;F014;Segurança Social
2021;Região Autónoma da Madeira;90238;11698;381661286.81;8712581.21;1124485384.67;10015;101936;390373868.02;F014;Segurança Social
2021;Região Autónoma dos Açores;89948;17041;380001979.16;14448694.8;1125122787.37;8638;106989;394450673.96;F014;Segurança Social
2021;Santarém;167306;19065;693824452.81;19604716.02;2054099237.59;16664;186371;713429168.83;F014;Segurança Social
2021;Setúbal;359734;46197;1737183700.48;39890833.44;5140554026.46;29166;405931;1777074533.92;F014;Segurança Social
2021;Viana do Castelo;83605;14454;326913439.41;13197192.24;967994537.04;9912;98059;340110631.65;F014;Segurança Social
2021;Vila Real;54161;12294;204198116.71;9534325.35;608644774.98;7421;66455;213732442.06;F014;Segurança Social
2021;Viseu;120691;18048;473338840.58;16390323.44;1403972195.18;13707;138739;489729164.02;F014;Segurança Social
2021;Évora;59747;7984;242361456.47;8142447.14;719202424.4;7075;67731;250503903.61;F014;Segurança Social
2022;Aveiro;318483;35690;1493275319.3;39419937.51;4386239882.84;28580;354173;1532695256.81;F014;Segurança Social
2022;Beja;85141;8169;272211679.36;9723714.44;803595350.56;7083;93310;281935393.8;F014;Segurança Social
2022;Braga;385018;41824;1714136469.45;45706108.84;5034168479.83;39916;426842;1759842578.29;F014;Segurança Social
2022;Bragança;36406;9079;142237892.37;8057328.81;420042212.97;5222;45485;150295221.18;F014;Segurança Social
2022;Castelo Branco;65194;8678;268720319.62;9443334.78;790179494.59;7103;73872;278163654.4;F014;Segurança Social
2022;Coimbra;161390;21915;767879740.22;22987734.58;2260690631.94;15392;183305;790867474.8;F014;Segurança Social
2022;Faro;238783;35643;929312970.32;41846409.29;2718892694.43;27417;274426;971159379.61;F014;Segurança Social
2022;Guarda;45874;7704;188074567.5;7890371.07;553675765.75;5769;53578;195964938.57;F014;Segurança Social
2022;Leiria;207362;24719;935530764.3;28515024.14;2747870260.53;22863;232081;964045788.44;F014;Segurança Social
2022;Lisboa;1105428;146428;6208277982.39;139579642.19;18247594799.65;122685;1251856;6347857624.58;F014;Segurança Social
2022;Outro;16880;2730;83463624.62;4378687.79;255848824.2;1432;19610;87842312.41;F014;Segurança Social
2022;Portalegre;38887;5151;155760961.24;6159021.53;459422779.41;4539;44038;161919982.77;F014;Segurança Social
2022;Porto;795308;87758;3881775806.42;92098791.9;11411802776.86;82070;883066;3973874598.32;F014;Segurança Social
2022;Região Autónoma da Madeira;97317;11890;434905171.93;9646834.16;1277432423.57;10553;109207;444552006.09;F014;Segurança Social
2022;Região Autónoma dos Açores;94738;16927;419021908.18;15228836.73;1239101920.25;8901;111665;434250744.91;F014;Segurança Social
2022;Santarém;177668;19538;772901856.01;21343555.46;2270467036.06;17112;197206;794245411.47;F014;Segurança Social
2022;Setúbal;389278;47534;1959730714.42;44603365.27;5745634173.68;30946;436812;2004334079.69;F014;Segurança Social
2022;Viana do Castelo;89661;14915;367234593.23;14662089.75;1077075013.63;10218;104576;381896682.98;F014;Segurança Social
2022;Vila Real;56852;12304;227371704.94;10369194.97;670195332.54;7656;69156;237740899.91;F014;Segurança Social
2022;Viseu;127852;18381;529449388.52;17858381.39;1558653415.03;14051;146233;547307769.91;F014;Segurança Social
2022;Évora;63004;7922;270220681.67;8830423.42;795018204.09;7243;70926;279051105.09;F014;Segurança Social
2023;Aveiro;328254;37982;1654808971.53;42555010.69;4862517331.09;28864;366236;1697363982.22;F014;Segurança Social
2023;Beja;94581;8387;320010269.75;10035596.74;944568329.2;7428;102968;330045866.49;F014;Segurança Social
2023;Braga;396465;44879;1911211067.09;49431436.79;5615648115.49;40961;441344;1960642503.88;F014;Segurança Social
2023;Bragança;37805;9065;159539018.53;8053982.86;471312970.22;5255;46870;167593001.39;F014;Segurança Social
2023;Castelo Branco;68632;9170;305924460.4;9961725.97;899464371.32;7176;77802;315886186.37;F014;Segurança Social
2023;Coimbra;167921;23579;860323864.46;25136901.29;2531908135.12;15868;191500;885460765.75;F014;Segurança Social
2023;Faro;249712;39010;1066362251.06;46790293.11;3117687777.23;28546;288722;1113152544.17;F014;Segurança Social
2023;Guarda;47456;7806;208182161.19;8308423.34;614366948.72;5836;55262;216490584.53;F014;Segurança Social
2023;Leiria;218557;26622;1048314294.58;31240816.53;3078902482.48;23298;245179;1079555111.11;F014;Segurança Social
2023;Lisboa;1156667;162789;6986125494.01;154703647.12;20515566516.62;128464;1319456;7140829141.13;F014;Segurança Social
2023;Outro;22602;2999;105277519.07;5036507.25;321189553.74;1597;25601;110314026.32;F014;Segurança Social
2023;Portalegre;40738;5265;173390892.78;6334533.1;511306074.88;4632;46003;179725425.88;F014;Segurança Social
2023;Porto;825565;95760;4349597017.8;101227004.42;12783266036.27;84755;921325;4450824022.22;F014;Segurança Social
2023;Região Autónoma da Madeira;102932;12269;497588176.19;10894888.41;1460526574.98;10992;115201;508483064.6;F014;Segurança Social
2023;Região Autónoma dos Açores;98185;17372;473111748.84;16940801.86;1400079540.28;9131;115557;490052550.7;F014;Segurança Social
2023;Santarém;187532;20743;872887918.49;23002526.19;2563455690.38;17483;208275;895890444.68;F014;Segurança Social
2023;Setúbal;412510;52908;2231123869.03;48197542.1;6536316808.75;32533;465418;2279321411.13;F014;Segurança Social
2023;Viana do Castelo;93950;15658;414337796.64;15833073.94;1215285009.81;10413;109608;430170870.58;F014;Segurança Social
2023;Vila Real;59483;12525;255231543.32;10640809.11;752561561.08;7785;72008;265872352.43;F014;Segurança Social
2023;Viseu;133605;19039;595562751.7;19180296.66;1755425245.23;14312;152644;614743048.36;F014;Segurança Social
2023;Évora;66584;8279;305116542.9;9294770.89;897185386.16;7359;74863;314411313.79;F014;Segurança Social
2024;Aveiro;331921;39581;1797750618.17;45224315.2;5287200482.64;29352;371502;1842974933.37;F014;Segurança Social
2024;Beja;86853;8667;347196986.81;10574062.38;1024630335.72;7538;95520;357771049.19;F014;Segurança Social
2024;Braga;400968;46830;2091917298.76;53164001.25;6150734481.61;41683;447798;2145081300.01;F014;Segurança Social
2024;Bragança;38812;8999;177118212.16;8292507.32;523357620.33;5355;47811;185410719.48;F014;Segurança Social
2024;Castelo Branco;69565;9499;334536021.83;10738200.26;984406685.1;7294;79064;345274222.09;F014;Segurança Social
2024;Coimbra;171469;24724;947598166.72;26879425.32;2788722179.81;16089;196193;974477592.04;F014;Segurança Social
2024;Faro;258244;42319;1193704183.28;52025009.74;3490381938.49;29399;300563;1245729193.02;F014;Segurança Social
2024;Guarda;48342;7814;228189757.38;8549885.29;673596228.35;5879;56156;236739642.67;F014;Segurança Social
2024;Leiria;225111;28981;1159947762.59;33989315.07;3408016119.85;23668;254092;1193937077.66;F014;Segurança Social
2024;Lisboa;1186122;176988;7644253631.42;175505826.28;22443950908.07;132328;1363110;7819759457.7;F014;Segurança Social
2024;Outro;25647;3592;132026015.08;5838101.3;401488402.19;1705;29239;137864116.38;F014;Segurança Social
2024;Portalegre;42073;5554;191334687.03;6727239.91;564103360.88;4695;47627;198061926.94;F014;Segurança Social
2024;Porto;841313;104647;4771625213.4;112386745.29;14032111054.81;86576;945960;4884011958.69;F014;Segurança Social
2024;Região Autónoma da Madeira;106739;12551;557811348.58;12446251.89;1636932552.41;11457;119290;570257600.47;F014;Segurança Social
2024;Região Autónoma dos Açores;100573;17465;528440217.27;18168385.57;1565088463.86;9359;118038;546608602.84;F014;Segurança Social
2024;Santarém;194146;21757;974244327.16;24308747.96;2861649314.58;17938;215903;998553075.12;F014;Segurança Social
2024;Setúbal;432237;57642;2490472641.7;53999340.86;7295358446.5;33715;489879;2544471982.56;F014;Segurança Social
2024;Viana do Castelo;95247;16116;458996408.2;16913949.04;1346717704.55;10641;111363;475910357.24;F014;Segurança Social
2024;Vila Real;60477;12643;282181556.24;11276543.12;832694720.26;7765;73120;293458099.36;F014;Segurança Social
2024;Viseu;136902;19783;660093393.53;20236438.78;1946949373.86;14558;156685;680329832.31;F014;Segurança Social
2024;Évora;67452;8608;333144885.5;9565204.36;979908031.89;7468;76060;342710089.86;F014;Segurança Social
2025;Aveiro;335902;38476;1932930945.88;46619834.42;5687118861.54;29632;374378;1979550780.3;F014;Segurança Social
2025;Beja;82196;8505;370163319.42;10387415.48;1091796583.14;7574;90701;380550734.9;F014;Segurança Social
2025;Braga;408747;46548;2275825388.91;56260097.08;6691183963.02;42433;455295;2332085485.99;F014;Segurança Social
2025;Bragança;39739;8781;195325287.92;8556309.76;577019703.79;5382;48520;203881597.68;F014;Segurança Social
2025;Castelo Branco;71064;9421;362798124.73;10946873.73;1067096196.0;7434;80485;373744998.46;F014;Segurança Social
2025;Coimbra;174929;24193;1029121752.59;28120784.4;3027162843.03;16276;199122;1057242536.99;F014;Segurança Social
2025;Faro;261212;41979;1297137813.58;55073989.42;3793224476.72;29820;303191;1352211803.0;F014;Segurança Social
2025;Guarda;48720;7497;247081113.48;8888181.55;729172274.39;5943;56217;255969295.03;F014;Segurança Social
2025;Leiria;228220;28365;1259761247.5;36206037.19;3701268590.84;24044;256585;1295967284.69;F014;Segurança Social
2025;Lisboa;1206516;172951;8168868483.98;187769305.28;23988941646.0;134150;1379467;8356637789.26;F014;Segurança Social
2025;Outro;22652;3575;136293448.78;6395326.4;412203969.24;1771;26227;142688775.18;F014;Segurança Social
2025;Portalegre;41934;5311;207545789.44;6796449.95;611839325.79;4704;47245;214342239.39;F014;Segurança Social
2025;Porto;852415;103257;5153727958.23;121701283.09;15156053875.79;87953;955672;5275429241.32;F014;Segurança Social
2025;Região Autónoma da Madeira;110252;12228;617846108.99;13178452.64;1812472562.66;11865;122480;631024561.63;F014;Segurança Social
2025;Região Autónoma dos Açores;102255;17109;576826705.37;18981165.18;1708136513.21;9390;119364;595807870.55;F014;Segurança Social
2025;Santarém;199322;21643;1066743522.73;25331366.03;3133103719.8;18189;220965;1092074888.76;F014;Segurança Social
2025;Setúbal;449387;57411;2733265439.85;58195798.85;8007131879.14;34550;506798;2791461238.7;F014;Segurança Social
2025;Viana do Castelo;96130;15909;493418137.2;17917433.82;1447613053.69;10784;112039;511335571.02;F014;Segurança Social
2025;Vila Real;62187;12377;309129733.41;11809339.97;911477219.56;7927;74564;320939073.38;F014;Segurança Social
2025;Viseu;140948;19253;721169928.23;21088649.92;2125550919.34;14867;160201;742258578.15;F014;Segurança Social
2025;Évora;67731;8147;360698668.11;9542749.47;1060748135.16;7571;75878;370241417.58;F014;Segurança Social
